NeuroMorpho.Org.ID,Neuron.Name,Archive.Name,Species.Name,Strain,Structural.Domains,Physical.Integrity,Morphological.Attributes,Min.Age,Max.Age,Gender,Min.Weight,Max.Weight,Development,Primary.Brain.Region,Secondary.Brain.Region,Tertiary.Brain.Region,Primary.Cell.Class,Secondary.Cell.Class,Tertiary.Cell.Class,Original.Format,Experiment.Protocol,Experimental.Condition,Staining.Method,Slicing.Direction,Slice.Thickness,Tissue.Shrinkage,Objective.Type,Magnification,Reconstruction.Method,Date.of.Deposition,Date.of.Upload,Soma.Surface,Number.of.Stems,Number.of.Bifurcations,Number.of.Branches,Overall.Width,Overall.Height,Overall.Depth,Average.Diameter,Total.Length,Total.Surface,Total.Volume,Max.Euclidean.Distance,Max.Path.Distance,Max.Branch.Order,Average.Contraction,Total.Fragmentation,Partition.Asymmetry,Average.Rall.s.Ratio,Average.Bifurcation.Angle.Local,Average.Bifurcation.Angle.Remote,Fractal.Dimension,Soma_Surface,N_stems,N_bifs,N_branch,N_tips,Width,Height,Depth,Type,Diameter,Diameter_pow,Length,Surface,SectionArea,Volume,EucDistance,PathDistance,Branch_Order,Terminal_degree,TerminalSegment,Taper_1,Taper_2,Branch_pathlength,Contraction,Fragmentation,Daughter_Ratio,Parent_Daughter_Ratio,Partition_asymmetry,Rall_Power,Pk,Pk_classic,Pk_2,Bif_ampl_local,Bif_ampl_remote,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,Last_parent_diam,Diam_threshold,HillmanThreshold,Helix,Fractal_Dim,Gstat.total.cable.length,gstats.maximum.path.length,gstats.number.of.branch.points,gstats.mpeucl,gstats.maximum.branch.order,Gstats.mean.branch.angle,Gstats.mean.branch.length,gstats.mplen,gstats.mbo,gstats.field.height,gstats.field.depth,gstats.chullx,gstats.chully,gstats.chullz,Sholl.1,Sholl.2,Sholl.2c,Sholl.3,Sholl.4,Sholl.5,Sholl.6,Sholl.7,Sholl.8,Sholl.9,Sholl.10,Sholl.11,Sholl.12,Sholl.13,Sholl.14,Sholl.15,Sholl.16,Sholl.17,Sholl.18,Sholl.19,Sholl.20,Sholl.21,Sholl.22,Sholl.23,Sholl.24,Sholl.25,Sholl.26,Sholl.27,Sholl.28,Sholl.29,Sholl.30,Sholl.31,Sholl.32,Sholl.33,Sholl.34,Sholl.35,Sholl.36,Sholl.37,Sholl.38,Sholl.39,Sholl.40,Sholl.41,Sholl.42,Sholl.43,Sholl.44,Sholl.45,Sholl.46,Sholl.47,Sholl.48,Sholl.49,Sholl.50
NMO_08955,01042012-cell-1,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20,30,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,433.13,3,3,9,152.18,357.11,11.37,0.16,776.73,390.43,15.61,220.82,271.87,1,0.9,191,0,2,64.99,50.01,1.01,433.133,3,4,11,8,141.5,357.12,11.37,576,65.813,133.07,788.471,823.564,220.745,1288.05,17380.8,20794.2,165,227,167,1.37852,2.95915,788.41,10.1383,194,4,8.04085,1,0,8,8,8,194.992,150.032,322.148,406.102,171.248,310.973,0.48,24.462,24.462,-0.74,8.14891,788.4714,271.8722,4,0.9067784,2,1.636212,71.67922,107.1865,1.416667,0.4641241,10.68687,19.01582,2.015155,-2.228351,1,5,5,3,5,4,4,5,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0
NMO_02198,010920-slice2-cellB,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Moderate, Axon Incomplete","Diameter, 3D, Angles",13,17,Not reported,Not reported,Not reported,young,neocortex,somatosensory,Not reported,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,107.8,4,24,52,101.82,284.79,213.5,0.19,1727.25,989.86,69.53,319.75,526.68,8,0.82,854,0.51,1.65,70.03,73.12,1.04,107.807,4,25,54,30,120.4,284.97,213.5,3165,183.035,126.377,1733.11,1097.67,91.4526,227.424,86261.9,123967,3197,2559,518,1.65307,11.087,1732.84,44.9752,857,34.3463,43.8384,13.4254,4.345,42.2389,41.8219,40.7957,1680.84,1754.89,2501.23,2804.74,1973.56,1896.93,1.4406,15.9174,18.9667,-2.23,42.9062,1727.253,526.6886,25,0.6998198,9,1.223116,33.21641,144.9838,4.679245,0.4429352,0.5204444,-1.754789,79.11543,19.8931,1,4,4,5,8,12,12,8,12,4,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,7,6,5,4,2,1,1,1,1,1,1,2,2,2,2,2,0
NMO_08953,01112012-cell-1,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20,30,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,1001.88,2,1,4,52.35,312.58,6.88,0.16,428.92,215.6,8.62,295.17,349.11,1,0.91,85,0,2,166.95,120.62,1.01,1001.88,2,2,6,5,49.89,312.59,6.88,258,67.2045,232.03,446.773,1217.49,503.219,4484.08,13437.7,14749.4,64,106,73,0.766502,1.98209,446.74,5.6729,88,2,4.01791,1,0,4,4,4,307.887,120.628,69.3301,51.6132,171.115,176.764,0.16,36.2163,45.0704,-0.16,4.07535,446.7734,349.1097,2,0.8686841,2,3.02777,74.46224,167.6069,1.142857,0.1738873,7.764951,4.243977,148.3072,-3.65875,1,4,4,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0
NMO_08949,01122012-cell-5,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20,30,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,686.12,3,2,7,129.28,483.46,9.09,0.16,876.64,440.65,17.62,275.09,354.59,1,0.85,233,0,2,72.71,91.66,1.02,686.123,3,3,9,7,145.96,483.46,9.09,702,81.6387,185.484,891.416,1126.77,348.112,2553.92,28755.1,35604.4,190,277,200,1.07686,2.96754,891.36,7.96617,236,3,6.03246,1,0,6,6,6,145.428,183.335,266.036,234.179,323.21,353.773,0.32,30.3724,37.6855,-0.53,7.20868,891.4155,354.592,3,0.8734927,2,1.893264,99.04617,150.866,1.3,0.3093299,14.5433,28.26691,5.604831,4.089322,1,5,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0
NMO_01839,020315-2-ST,Yuste,mouse,Albino,"Dendrites, Soma, Axon",Dendrites & Axon Complete,"Diameter, 3D, Angles",14,23,Not reported,Not reported,Not reported,young,neocortex,occipital,layer 5,interneuron,Somatostatin (SOM) containing cell,Not reported,Neurolucida.dat,in vitro,Control,green fluorescent protein,coronal,300,Not reported,Not reported,60x,Neurolucida,2007-10-05,2007-12-05,612.76,3,415,833,451.64,822.03,325.26,0.26,21026,18212.3,1525.95,681.12,1338.62,28,0.89,4210,0.66,1.97,81.22,78.43,1.05,612.765,3,416,835,420,467.5,945.6,112,8641,1171.78,773.901,21039.9,18825,587.256,3665.41,1562810,2431350,57147,41533,1717,1.00339,12.8373,21035.9,749.86,4213,430.493,822.895,275.799,6.46,818.753,820.013,818.192,33707.4,32550.3,43637.9,43508.3,37354.2,36380.4,25.01,133.682,134.532,-4.32,394.965,21025.98,1338.623,416,0.5933568,29,1.419904,25.24127,577.377,15.33933,0.7192245,2.44712,-13.52306,302.6338,21.64518,1,9,9,24,31,43,49,34,26,28,28,20,16,17,16,11,7,9,9,9,8,10,7,7,5,5,5,5,12,12,9,9,6,7,8,16,21,18,21,23,42,43,43,60,46,29,20,8,4,4,0
NMO_01842,020530-2-NPY,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon",Dendrites & Axon Complete,"Diameter, 3D, Angles",14,23,Not reported,Not reported,Not reported,young,neocortex,occipital,layer 2-3,interneuron,Neuropeptide Y (NPY)-positive,Not reported,Neurolucida.dat,in vitro,Control,green fluorescent protein,coronal,300,Not reported,Not reported,60x,Neurolucida,2007-10-05,2007-12-05,510.86,10,320,650,532.78,378.49,51.5,0.45,20170,28802.3,3754.1,504.83,573.28,18,0.86,5903,0.5,1.95,61.14,68.06,1.06,510.865,10,321,652,332,391.4,650.6,51.5,12609,2730.64,2035.81,20182.8,29313.1,1342.68,5382.74,768485,1458190,44514,22754,3353,4.77032,32.5344,20179.6,565.92,5906,364.977,624.837,161.609,25.735,625.241,628.214,641.584,19564.8,21781.6,37437.1,36682,28704.3,29277,43.95,164.944,167.509,3.19,453.192,20170.03,573.2895,321,0.5570986,19,1.069814,31.03081,246.9821,8.500768,0.6759136,4.781132,36.98298,-8.986725,-19.08646,1,12,12,27,26,51,61,65,82,72,74,59,51,68,58,57,46,53,46,44,42,39,38,27,22,21,24,14,14,12,11,11,6,6,4,5,3,4,2,2,2,2,1,1,1,1,1,1,1,1,0
NMO_01846,020621-3-NPY,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon",Dendrites & Axon Complete,"Diameter, 3D, Angles",14,23,Not reported,Not reported,Not reported,young,neocortex,occipital,layer 2-3,interneuron,Neuropeptide Y (NPY)-positive,Not reported,Neurolucida.dat,in vitro,Control,green fluorescent protein,coronal,300,Not reported,Not reported,60x,Neurolucida,2007-10-05,2007-12-05,654.15,9,352,713,261.54,655.71,85.5,0.3,25727.5,24789.7,2551,444.41,1029.14,18,0.9,5150,0.52,1.76,66.05,67.26,1.04,654.158,9,353,715,363,222.04,658.7,85.5,10989,1632.32,1142.85,25741.9,25443.8,852.028,4910.87,667275,1552670,45141,23788,3040,9.61381,80.4823,25738.4,649.725,5153,431.938,641.916,184.191,51.285,627.804,624.661,614.54,23253,23678.7,42363,40757,29397.2,29894.6,30.38,125.44,139.595,-4.5,459.233,25727.51,1029.145,353,0.4686492,19,1.152905,36.08347,301.4278,9.97619,0.4280016,0.7408516,-6.265389,-13.68027,13.1356,1,9,9,42,58,83,92,102,101,93,88,86,93,88,83,93,86,78,72,73,75,64,69,66,58,60,47,41,40,36,29,23,23,17,13,13,6,5,7,4,4,4,3,3,3,3,3,3,3,3,0
NMO_02204,020801-3-ST,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",13,17,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Somatostatin (SOM) containing cell,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,726.8,5,260,525,723.97,1073.23,76,0.28,16543,14934.2,1361.01,912.44,1551.17,26,0.85,4508,0.64,1.92,84.36,79.84,1.07,726.802,5,261,527,267,709,936.88,76,9657,1341.37,924.967,16558.2,15661,731.272,4124.7,1665330,2328360,52868,33650,1894,2.54815,20.7584,16555.5,450.216,4511,283.219,507.591,167.427,12.515,503.783,503.458,501.665,21935.9,20759.9,27033.6,27421.7,22689.6,22776.1,17.34,99.0103,107.595,4.16,341.08,16542.98,1551.174,261,0.6805223,27,1.473117,31.51044,516.3767,13.95627,1.182142,8.730728,29.80901,304.1503,11.85826,1,9,9,29,24,48,51,28,21,14,13,13,8,5,5,6,6,5,6,7,5,3,3,3,3,4,4,5,6,9,8,10,14,28,34,25,19,33,16,12,5,4,1,1,1,1,1,1,1,1,0
NMO_33209,020910-03aLentirePy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60,60,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,1546.77,4,47,98,404.15,848.21,13.31,1.64,9313.75,48167.6,21733.7,226.85,245.23,6.15,0.96,3695,0.5,1.86,63.57,52.61,1,1546.76,4,50,100,51,404.12,846.28,13.31,12890,6296.27,9026.23,9338.7,49615.1,11688.7,28953.4,837011,904791,22703,6838,3041,4.10604,19.8038,9338.17,96.2597,3701,87.3902,91.7007,24.8975,45.765,103.363,90.8515,91.4761,2987.94,2590.18,5771.61,6377.67,3757.12,4266.35,27.0058,87.036,102.899,0.31,94.5854,9338.702,768.0508,50,0.9056529,16,1.14605,92.46239,244.472,7.485149,0.4669584,33.40069,2.728833,62.5815,-5.390918,1,4,4,4,10,17,22,24,25,25,28,29,29,29,30,29,28,28,26,22,19,16,14,11,11,11,10,9,6,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0
NMO_33213,020910-04-1to29dPy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60,60,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,2039.02,3,39,81,367.8,856.04,24.69,1.97,6646.96,41358.9,22033.9,236.06,265.07,6.54,0.94,2620,0.62,1.82,71.6,63.88,1,2039.02,3,41,82,42,367.8,855.86,24.64,9362,5424.77,8580.79,6681.9,43265.8,12081.6,30748.8,616325,692039,17095,5723,2016,4.0893,14.8366,6681.5,77.4287,2625,59.623,75.5503,25.7134,35.37,76.8567,74.1128,73.4961,2792.7,2577.4,4335.97,4715.58,4072.15,4148.68,22.8043,84.8047,90.5162,-0.49,73.6938,6681.898,681.3345,41,0.8564587,18,1.285819,79.54641,263.634,7.975904,0.4735097,13.91888,-14.04321,111.3086,4.566286,1,4,4,5,9,11,14,15,16,19,19,20,19,21,15,16,15,14,13,14,14,12,11,11,9,8,8,8,8,7,7,8,7,6,7,6,6,5,6,6,4,3,4,4,4,4,3,2,1,1,0
