"NeuroMorpho.Org.ID","Neuron.Name","Archive.Name","Species.Name","Strain","Structural.Domains","Physical.Integrity","Morphological.Attributes","Min.Age","Max.Age","Gender","Min.Weight","Max.Weight","Development","Primary.Brain.Region","Secondary.Brain.Region","Tertiary.Brain.Region","Primary.Cell.Class","Secondary.Cell.Class","Tertiary.Cell.Class","Original.Format","Experiment.Protocol","Experimental.Condition","Staining.Method","Slicing.Direction","Slice.Thickness","Tissue.Shrinkage","Objective.Type","Magnification","Reconstruction.Method","Date.of.Deposition","Date.of.Upload","Soma.Surface","Number.of.Stems","Number.of.Bifurcations","Number.of.Branches","Overall.Width","Overall.Height","Overall.Depth","Average.Diameter","Total.Length","Total.Surface","Total.Volume","Max.Euclidean.Distance","Max.Path.Distance","Max.Branch.Order","Average.Contraction","Total.Fragmentation","Partition.Asymmetry","Average.Rall.s.Ratio","Average.Bifurcation.Angle.Local","Average.Bifurcation.Angle.Remote","Fractal.Dimension","Soma_Surface","N_stems","N_bifs","N_branch","N_tips","Width","Height","Depth","Type","Diameter","Diameter_pow","Length","Surface","SectionArea","Volume","EucDistance","PathDistance","Branch_Order","Terminal_degree","TerminalSegment","Taper_1","Taper_2","Branch_pathlength","Contraction","Fragmentation","Daughter_Ratio","Parent_Daughter_Ratio","Partition_asymmetry","Rall_Power","Pk","Pk_classic","Pk_2","Bif_ampl_local","Bif_ampl_remote","Bif_tilt_local","Bif_tilt_remote","Bif_torque_local","Bif_torque_remote","Last_parent_diam","Diam_threshold","HillmanThreshold","Helix","Fractal_Dim","Gstat.total.cable.length","gstats.maximum.path.length","gstats.number.of.branch.points","gstats.mpeucl","gstats.maximum.branch.order","Gstats.mean.branch.angle","Gstats.mean.branch.length","gstats.mplen","gstats.mbo","gstats.field.height","gstats.field.depth","gstats.chullx","gstats.chully","gstats.chullz","Sholl.1","Sholl.2","Sholl.3","Sholl.4","Sholl.5","Sholl.6","Sholl.7","Sholl.8","Sholl.9","Sholl.10","Sholl.11","Sholl.12","Sholl.13","Sholl.14","Sholl.15","Sholl.16","Sholl.17","Sholl.18","Sholl.19","Sholl.20","Sholl.21","Sholl.22","Sholl.23","Sholl.24","Sholl.25","Sholl.26","Sholl.27","Sholl.28","Sholl.29","Sholl.30","Sholl.31","Sholl.32","Sholl.33","Sholl.34","Sholl.35","Sholl.36","Sholl.37","Sholl.38","Sholl.39","Sholl.40","Sholl.41","Sholl.42","Sholl.43","Sholl.44","Sholl.45","Sholl.46","Sholl.47","Sholl.48","Sholl.49","Sholl.50"
"NMO_08955","01042012-cell-1","Uteshev","rat","Sprague-Dawley","Dendrites, Soma, No Axon","Dendrites Moderate","No Diameter, 3D, Angles",44,"30","Male","Not reported","Not reported","adult","myelencephalon","solitary nucleus","caudal","principal cell","Not reported","Not reported","Neurolucida.dat","in vitro","Control","neurobiotin","horizontal","300","Reported (no values given) Not corrected","Not reported","Not reported","Neurolucida","2013-03-15","2013-05-06",433.13,3,3,9,152.18,357.11,11.37,0.16,776.73,390.43,15.61,220.82,271.87,1,0.9,191,0,2,64.99,50.01,1.01,433.133,3,4,11,8,141.5,357.12,11.37,576,65.813,133.07,788.471,823.564,220.745,1288.05,17380.8,20794.2,165,227,167,1.37852,2.95915,788.41,10.1383,194,4,8.04085,1,0,8,8,8,194.992,150.032,322.148,406.102,171.248,310.973,0.48,24.462,24.462,-0.74,"8.14891",788.4714,271.8722,4,0.9067784,2,1.636212,71.67922,107.1865,1.416667,0.4641241,10.68687,19.01582,2.015155,-2.228351,1,5,3,5,4,4,5,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0
"NMO_08953","01112012-cell-1","Uteshev","rat","Sprague-Dawley","Dendrites, Soma, No Axon","Dendrites Moderate","No Diameter, 3D, Angles",44,"30","Male","Not reported","Not reported","adult","myelencephalon","solitary nucleus","caudal","principal cell","Not reported","Not reported","Neurolucida.dat","in vitro","Control","neurobiotin","horizontal","300","Reported (no values given) Not corrected","Not reported","Not reported","Neurolucida","2013-03-15","2013-05-06",1001.88,2,1,4,52.35,312.58,6.88,0.16,428.92,215.6,8.62,295.17,349.11,1,0.91,85,0,2,166.95,120.62,1.01,1001.88,2,2,6,5,49.89,312.59,6.88,258,67.2045,232.03,446.773,1217.49,503.219,4484.08,13437.7,14749.4,64,106,73,0.766502,1.98209,446.74,5.6729,88,2,4.01791,1,0,4,4,4,307.887,120.628,69.3301,51.6132,171.115,176.764,0.16,36.2163,45.0704,-0.16,"4.07535",446.7734,349.1097,2,0.8686841,2,3.02777,74.46224,167.6069,1.142857,0.1738873,7.764951,4.243977,148.3072,-3.65875,1,4,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0
"NMO_08949","01122012-cell-5","Uteshev","rat","Sprague-Dawley","Dendrites, Soma, No Axon","Dendrites Moderate","No Diameter, 3D, Angles",44,"30","Male","Not reported","Not reported","adult","myelencephalon","solitary nucleus","caudal","principal cell","Not reported","Not reported","Neurolucida.dat","in vitro","Control","neurobiotin","horizontal","300","Reported (no values given) Not corrected","Not reported","Not reported","Neurolucida","2013-03-15","2013-05-06",686.12,3,2,7,129.28,483.46,9.09,0.16,876.64,440.65,17.62,275.09,354.59,1,0.85,233,0,2,72.71,91.66,1.02,686.123,3,3,9,7,145.96,483.46,9.09,702,81.6387,185.484,891.416,1126.77,348.112,2553.92,28755.1,35604.4,190,277,200,1.07686,2.96754,891.36,7.96617,236,3,6.03246,1,0,6,6,6,145.428,183.335,266.036,234.179,323.21,353.773,0.32,30.3724,37.6855,-0.53,"7.20868",891.4155,354.592,3,0.8734927,2,1.893264,99.04617,150.866,1.3,0.3093299,14.5433,28.26691,5.604831,4.089322,1,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0
"NMO_33209","020910-03aLentirePy","Kim","mouse","C57BL/6","Dendrites, Soma, No Axon","Dendrites Complete","Diameter, 3D, Angles",105,"60","Male/Female","Not reported","Not reported","adult","hippocampus","CA1","Not reported","principal cell","pyramidal","Not reported","neuTube.swc","in vitro","Control","red fluorescent protein","horizontal","100","Reported 50% in z Not corrected","oil","40x","neuTube","2014-01-10","2015-07-07",1546.77,4,47,98,404.15,848.21,13.31,1.64,9313.75,48167.6,21733.7,226.85,245.23,6.15,0.96,3695,0.5,1.86,63.57,52.61,1,1546.76,4,50,100,51,404.12,846.28,13.31,12890,6296.27,9026.23,9338.7,49615.1,11688.7,28953.4,837011,904791,22703,6838,3041,4.10604,19.8038,9338.17,96.2597,3701,87.3902,91.7007,24.8975,45.765,103.363,90.8515,91.4761,2987.94,2590.18,5771.61,6377.67,3757.12,4266.35,27.0058,87.036,102.899,0.31,"94.5854",9338.702,768.0508,50,0.9056529,16,1.14605,92.46239,244.472,7.485149,0.4669584,33.40069,2.728833,62.5815,-5.390918,1,4,4,10,17,22,24,25,25,28,29,29,29,30,29,28,28,26,22,19,16,14,11,11,11,10,9,6,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0
"NMO_33213","020910-04-1to29dPy","Kim","mouse","C57BL/6","Dendrites, Soma, No Axon","Dendrites Complete","Diameter, 3D, Angles",105,"60","Male/Female","Not reported","Not reported","adult","hippocampus","CA1","Not reported","principal cell","pyramidal","Not reported","neuTube.swc","in vitro","Control","red fluorescent protein","horizontal","100","Reported 50% in z Not corrected","oil","40x","neuTube","2014-01-10","2015-07-07",2039.02,3,39,81,367.8,856.04,24.69,1.97,6646.96,41358.9,22033.9,236.06,265.07,6.54,0.94,2620,0.62,1.82,71.6,63.88,1,2039.02,3,41,82,42,367.8,855.86,24.64,9362,5424.77,8580.79,6681.9,43265.8,12081.6,30748.8,616325,692039,17095,5723,2016,4.0893,14.8366,6681.5,77.4287,2625,59.623,75.5503,25.7134,35.37,76.8567,74.1128,73.4961,2792.7,2577.4,4335.97,4715.58,4072.15,4148.68,22.8043,84.8047,90.5162,-0.49,"73.6938",6681.898,681.3345,41,0.8564587,18,1.285819,79.54641,263.634,7.975904,0.4735097,13.91888,-14.04321,111.3086,4.566286,1,4,5,9,11,14,15,16,19,19,20,19,21,15,16,15,14,13,14,14,12,11,11,9,8,8,8,8,7,7,8,7,6,7,6,6,5,6,6,4,3,4,4,4,4,3,2,1,1,0
"NMO_33219","020910C-07-1to41aupPy","Kim","mouse","C57BL/6","Dendrites, Soma, No Axon","Dendrites Complete","Diameter, 3D, Angles",105,"60","Male/Female","Not reported","Not reported","adult","hippocampus","CA1","Not reported","principal cell","pyramidal","Not reported","neuTube.swc","in vitro","Control","red fluorescent protein","horizontal","100","Reported 50% in z Not corrected","oil","40x","neuTube","2014-01-10","2015-07-07",2498.51,5,25,55,441.01,890.4,21.94,1.92,6988.64,42199.2,22398.3,287.84,316.43,6.19,0.95,2705,0.69,1.71,72.03,51.87,1.01,2498.51,5,29,58,30,396.34,888.78,22.65,10062,5543.66,9208.37,7018.59,44530.5,14935.7,37395.8,777290,854472,16731,4715,2307,7.23495,15.457,7018.3,55.3827,2713,56.8821,48.951,19.0334,28.395,47.6798,47.212,46.4605,1890.83,1330.11,3117.63,3635.41,2059.13,2494.57,18.1852,66.878,75.6075,0.16,"49.5054",7018.59,889.3631,29,0.9024341,15,1.350607,118.9592,314.9547,6.644068,0.4938727,18.95479,-5.068523,201.108,-2.594407,1,5,10,11,11,13,13,14,14,15,17,18,14,12,13,14,13,14,13,11,10,8,8,8,10,9,9,9,8,6,5,5,5,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0
"NMO_33217","020910c-02-01","Kim","mouse","C57BL/6","Dendrites, Soma, No Axon","Dendrites Complete","Diameter, 3D, Angles",105,"60","Male/Female","Not reported","Not reported","adult","hippocampus","CA1","Not reported","principal cell","pyramidal","Not reported","neuTube.swc","in vitro","Control","red fluorescent protein","horizontal","100","Reported 50% in z Not corrected","oil","40x","neuTube","2014-01-10","2015-07-07",2637.13,2,45,92,366.53,707.92,22.64,1.83,7726.69,44534,22595.3,206.87,234.62,6.76,0.95,3067,0.55,1.72,71.87,45.62,1.01,2637.13,2,46,92,47,366.53,707.64,22.63,11027,5876.4,9025.91,7771.49,46577.7,12509.8,31636.8,631590,716302,20647,5999,2516,3.21881,17.551,7771.05,87.8197,3068,71.1761,81.4905,25.2464,56.705,83.4708,79.582,79.2112,3234.15,2189.42,5038.02,6226.37,4026.33,3735.84,33.7688,93.9957,103.427,0.79,"85.936",7771.493,596.4283,46,0.8731533,17,1.2929,82.67546,233.4753,7.698925,0.51503,14.79113,3.746172,79.11739,2.210634,1,2,2,7,8,9,16,20,20,23,28,24,25,28,25,24,26,25,20,21,21,18,17,17,17,15,11,9,10,8,9,9,8,5,6,6,6,4,4,3,3,2,1,1,1,1,1,1,1,0
"NMO_33225","020910c-07-2cNewPy","Kim","mouse","C57BL/6","Dendrites, Soma, No Axon","Dendrites Complete","Diameter, 3D, Angles",105,"60","Male/Female","Not reported","Not reported","adult","hippocampus","CA1","Not reported","principal cell","pyramidal","Not reported","neuTube.swc","in vitro","Control","red fluorescent protein","horizontal","100","Reported 50% in z Not corrected","oil","40x","neuTube","2014-01-10","2015-07-07",3793.08,6,24,54,452.61,818.67,25.08,1.91,6918.89,41459.69,21761.2,256.85,279.95,4.18,0.95,2702,0.73,1.77,71.91,45.2,1.01,3793.08,6,28,57,30,452.4,818.25,25.08,9550,5646.5,9685.9,6974.93,44919.7,16464.4,39977.8,689641,751638,11227,4770,2280,5.48015,15.2468,6974.65,54.753,2710,54.3698,50.5634,21.2381,16.37,49.3115,48.5247,47.9368,1725.89,1205.65,2854.29,3713.39,2055.49,2077.3,11.5281,105.375,120.283,-0.15,"51.533",6974.928,644.2158,28,0.9323558,14,1.273774,114.3431,277.3572,6.017241,0.5735356,17.14964,6.981949,108.9132,-3.805714,1,6,5,6,8,9,12,13,14,11,14,15,15,15,15,15,16,16,16,16,15,17,16,18,17,17,16,15,14,13,13,11,9,10,11,9,9,9,9,7,5,5,4,3,3,2,2,1,1,0
"NMO_08943","02092012-cell-5","Uteshev","rat","Sprague-Dawley","Dendrites, Soma, No Axon","Dendrites Moderate","No Diameter, 3D, Angles",44,"30","Male","Not reported","Not reported","adult","myelencephalon","solitary nucleus","caudal","principal cell","Not reported","Not reported","Neurolucida.dat","in vitro","Control","neurobiotin","horizontal","300","Reported (no values given) Not corrected","Not reported","Not reported","Neurolucida","2013-03-15","2013-05-06",1447.8,3,2,7,279.23,317.35,13.17,0.16,821.8,413.08,16.52,251.93,310.87,1,0.88,136,0,2,74.66,80.25,1.02,1447.8,3,3,9,7,291.71,311.46,13.17,411,86.1772,307.202,843.263,1860.88,726.972,7788.46,13218.1,15730.8,97,154,129,1.52517,2.97765,843.23,8.16721,139,3,6.02235,1,0,6,6,6,149.329,160.506,256.932,248.972,287.423,319.232,0.32,43.7448,54.401,0.65,"6.17567",843.2628,310.8748,3,0.9025854,2,1.915956,93.69587,113.171,1.3,0.9162314,19.09908,13.39928,38.48388,3.985468,1,5,5,3,3,4,4,4,5,5,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"NMO_08941","02112012-cell-2","Uteshev","rat","Sprague-Dawley","Dendrites, Soma, No Axon","Dendrites Moderate","No Diameter, 3D, Angles",44,"30","Male","Not reported","Not reported","adult","myelencephalon","solitary nucleus","caudal","principal cell","Not reported","Not reported","Neurolucida.dat","in vitro","Control","neurobiotin","horizontal","300","Reported (no values given) Not corrected","Not reported","Not reported","Neurolucida","2013-03-15","2013-05-06",1472.4,2,3,8,75.79,299.17,23.78,0.16,505.3,253.99,10.15,255.11,302.37,3,0.89,78,0.66,2,105.88,68.45,1.02,1472.4,2,4,10,7,75.8,299.17,26.64,237,77.4504,307.344,526.949,1726.39,738.298,7982.01,11194.6,12842.5,122,161,52,0.501639,1.98522,526.91,9.17869,81,4,8.01478,3,0,8,8,8,470.337,205.369,197.497,340.752,224.852,72.8144,0.16,44.1136,54.862,-0.62,"7.15489",526.9488,302.3729,4,0.9137952,4,2.171461,52.69488,158.5496,2,0.2595939,3.009009,-13.48481,130.2322,13.78222,1,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,0
