"NeuroMorpho.Org.ID","Neuron.Name","Archive.Name","Species.Name","Strain","Structural.Domains","Physical.Integrity","Morphological.Attributes","Min.Age","Max.Age","Gender","Min.Weight","Max.Weight","Development","Primary.Brain.Region","Secondary.Brain.Region","Tertiary.Brain.Region","Primary.Cell.Class","Secondary.Cell.Class","Tertiary.Cell.Class","Original.Format","Experiment.Protocol","Experimental.Condition","Staining.Method","Slicing.Direction","Slice.Thickness","Tissue.Shrinkage","Objective.Type","Magnification","Reconstruction.Method","Date.of.Deposition","Date.of.Upload","Soma.Surface","Number.of.Stems","Number.of.Bifurcations","Number.of.Branches","Overall.Width","Overall.Height","Overall.Depth","Average.Diameter","Total.Length","Total.Surface","Total.Volume","Max.Euclidean.Distance","Max.Path.Distance","Max.Branch.Order","Average.Contraction","Total.Fragmentation","Partition.Asymmetry","Average.Rall.s.Ratio","Average.Bifurcation.Angle.Local","Average.Bifurcation.Angle.Remote","Fractal.Dimension","Soma_Surface","N_stems","N_bifs","N_branch","N_tips","Width","Height","Depth","Type","Diameter","Diameter_pow","Length","Surface","SectionArea","Volume","EucDistance","PathDistance","Branch_Order","Terminal_degree","TerminalSegment","Taper_1","Taper_2","Branch_pathlength","Contraction","Fragmentation","Daughter_Ratio","Parent_Daughter_Ratio","Partition_asymmetry","Rall_Power","Pk","Pk_classic","Pk_2","Bif_ampl_local","Bif_ampl_remote","Bif_tilt_local","Bif_tilt_remote","Bif_torque_local","Bif_torque_remote","Last_parent_diam","Diam_threshold","HillmanThreshold","Helix","Fractal_Dim","Gstat.total.cable.length","gstats.maximum.path.length","gstats.number.of.branch.points","gstats.mpeucl","gstats.maximum.branch.order","Gstats.mean.branch.angle","Gstats.mean.branch.length","gstats.mplen","gstats.mbo","gstats.field.height","gstats.field.depth","gstats.chullx","gstats.chully","gstats.chullz","Sholl.1","Sholl.2","Sholl.3","Sholl.4","Sholl.5","Sholl.6","Sholl.7","Sholl.8","Sholl.9","Sholl.10","Sholl.11","Sholl.12","Sholl.13","Sholl.14","Sholl.15","Sholl.16","Sholl.17","Sholl.18","Sholl.19","Sholl.20","Sholl.21","Sholl.22","Sholl.23","Sholl.24","Sholl.25","Sholl.26","Sholl.27","Sholl.28","Sholl.29","Sholl.30","Sholl.31","Sholl.32","Sholl.33","Sholl.34","Sholl.35","Sholl.36","Sholl.37","Sholl.38","Sholl.39","Sholl.40","Sholl.41","Sholl.42","Sholl.43","Sholl.44","Sholl.45","Sholl.46","Sholl.47","Sholl.48","Sholl.49","Sholl.50"
"NMO_02198","010920-slice2-cellB","Yuste","mouse","C57BL/6","Dendrites, Soma, Axon","Dendrites Moderate, Axon Incomplete","Diameter, 3D, Angles","13","17","Not reported","Not reported","Not reported","young","neocortex","somatosensory","Not reported","principal cell","pyramidal","Not reported","Neurolucida.dat","in vitro","Control","biocytin","coronal","300","Not reported","water","60x","Neurolucida","2008-02-06","2008-07-15",107.8,4,24,52,101.82,284.79,213.5,0.19,1727.25,989.86,69.53,319.75,526.68,8,0.82,854,0.51,1.65,70.03,73.12,1.04,107.807,4,25,54,30,120.4,284.97,213.5,3165,183.035,126.377,1733.11,1097.67,91.4526,227.424,86261.9,123967,3197,2559,518,1.65307,11.087,1732.84,44.9752,857,34.3463,43.8384,13.4254,4.345,42.2389,41.8219,40.7957,1680.84,1754.89,2501.23,2804.74,1973.56,1896.93,1.4406,15.9174,18.9667,-2.23,"42.9062",1727.253,526.6886,25,0.6998198,9,1.223116,33.21641,144.9838,4.679245,0.4429352,0.5204444,-1.754789,79.11543,19.8931,1,4,5,8,12,12,8,12,4,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,7,6,5,4,2,1,1,1,1,1,1,2,2,2,2,2,0
"NMO_01839","020315-2-ST","Yuste","mouse","Albino","Dendrites, Soma, Axon","Dendrites & Axon Complete","Diameter, 3D, Angles","14","23","Not reported","Not reported","Not reported","young","neocortex","occipital","layer 5","interneuron","Somatostatin (SOM) containing cell","Not reported","Neurolucida.dat","in vitro","Control","green fluorescent protein","coronal","300","Not reported","Not reported","60x","Neurolucida","2007-10-05","2007-12-05",612.76,3,415,833,451.64,822.03,325.26,0.26,21026,18212.3,1525.95,681.12,1338.62,28,0.89,4210,0.66,1.97,81.22,78.43,1.05,612.765,3,416,835,420,467.5,945.6,112,8641,1171.78,773.901,21039.9,18825,587.256,3665.41,1562810,2431350,57147,41533,1717,1.00339,12.8373,21035.9,749.86,4213,430.493,822.895,275.799,6.46,818.753,820.013,818.192,33707.4,32550.3,43637.9,43508.3,37354.2,36380.4,25.01,133.682,134.532,-4.32,"394.965",21025.98,1338.623,416,0.5933568,29,1.419904,25.24127,577.377,15.33933,0.7192245,2.44712,-13.52306,302.6338,21.64518,1,9,24,31,43,49,34,26,28,28,20,16,17,16,11,7,9,9,9,8,10,7,7,5,5,5,5,12,12,9,9,6,7,8,16,21,18,21,23,42,43,43,60,46,29,20,8,4,4,0
"NMO_01842","020530-2-NPY","Yuste","mouse","C57BL/6","Dendrites, Soma, Axon","Dendrites & Axon Complete","Diameter, 3D, Angles","14","23","Not reported","Not reported","Not reported","young","neocortex","occipital","layer 2-3","interneuron","Neuropeptide Y (NPY)-positive","Not reported","Neurolucida.dat","in vitro","Control","green fluorescent protein","coronal","300","Not reported","Not reported","60x","Neurolucida","2007-10-05","2007-12-05",510.86,10,320,650,532.78,378.49,51.5,0.45,20170,28802.3,3754.1,504.83,573.28,18,0.86,5903,0.5,1.95,61.14,68.06,1.06,510.865,10,321,652,332,391.4,650.6,51.5,12609,2730.64,2035.81,20182.8,29313.1,1342.68,5382.74,768485,1458190,44514,22754,3353,4.77032,32.5344,20179.6,565.92,5906,364.977,624.837,161.609,25.735,625.241,628.214,641.584,19564.8,21781.6,37437.1,36682,28704.3,29277,43.95,164.944,167.509,3.19,"453.192",20170.03,573.2895,321,0.5570986,19,1.069814,31.03081,246.9821,8.500768,0.6759136,4.781132,36.98298,-8.986725,-19.08646,1,12,27,26,51,61,65,82,72,74,59,51,68,58,57,46,53,46,44,42,39,38,27,22,21,24,14,14,12,11,11,6,6,4,5,3,4,2,2,2,2,1,1,1,1,1,1,1,1,0
"NMO_01846","020621-3-NPY","Yuste","mouse","C57BL/6","Dendrites, Soma, Axon","Dendrites & Axon Complete","Diameter, 3D, Angles","14","23","Not reported","Not reported","Not reported","young","neocortex","occipital","layer 2-3","interneuron","Neuropeptide Y (NPY)-positive","Not reported","Neurolucida.dat","in vitro","Control","green fluorescent protein","coronal","300","Not reported","Not reported","60x","Neurolucida","2007-10-05","2007-12-05",654.15,9,352,713,261.54,655.71,85.5,0.3,25727.5,24789.7,2551,444.41,1029.14,18,0.9,5150,0.52,1.76,66.05,67.26,1.04,654.158,9,353,715,363,222.04,658.7,85.5,10989,1632.32,1142.85,25741.9,25443.8,852.028,4910.87,667275,1552670,45141,23788,3040,9.61381,80.4823,25738.4,649.725,5153,431.938,641.916,184.191,51.285,627.804,624.661,614.54,23253,23678.7,42363,40757,29397.2,29894.6,30.38,125.44,139.595,-4.5,"459.233",25727.51,1029.145,353,0.4686492,19,1.152905,36.08347,301.4278,9.97619,0.4280016,0.7408516,-6.265389,-13.68027,13.1356,1,9,42,58,83,92,102,101,93,88,86,93,88,83,93,86,78,72,73,75,64,69,66,58,60,47,41,40,36,29,23,23,17,13,13,6,5,7,4,4,4,3,3,3,3,3,3,3,3,0
"NMO_02204","020801-3-ST","Yuste","mouse","C57BL/6","Dendrites, Soma, Axon","Dendrites & Axon Moderate","Diameter, 3D, Angles","13","17","Not reported","Not reported","Not reported","young","neocortex","occipital","Not reported","interneuron","Somatostatin (SOM) containing cell","Not reported","Neurolucida.dat","in vitro","Control","biocytin","coronal","300","Not reported","water","60x","Neurolucida","2008-02-06","2008-07-15",726.8,5,260,525,723.97,1073.23,76,0.28,16543,14934.2,1361.01,912.44,1551.17,26,0.85,4508,0.64,1.92,84.36,79.84,1.07,726.802,5,261,527,267,709,936.88,76,9657,1341.37,924.967,16558.2,15661,731.272,4124.7,1665330,2328360,52868,33650,1894,2.54815,20.7584,16555.5,450.216,4511,283.219,507.591,167.427,12.515,503.783,503.458,501.665,21935.9,20759.9,27033.6,27421.7,22689.6,22776.1,17.34,99.0103,107.595,4.16,"341.08",16542.98,1551.174,261,0.6805223,27,1.473117,31.51044,516.3767,13.95627,1.182142,8.730728,29.80901,304.1503,11.85826,1,9,29,24,48,51,28,21,14,13,13,8,5,5,6,6,5,6,7,5,3,3,3,3,4,4,5,6,9,8,10,14,28,34,25,19,33,16,12,5,4,1,1,1,1,1,1,1,1,0
"NMO_06382","30104","Masland","mouse","C57BL/6","Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles","Not reported","Not reported","Not reported","Not reported","Not reported","not reported","retina","ganglion layer","Not reported","principal cell","ganglion","Not reported","Neurolucida.dat","in vitro","Control","Multiple","whole mount","Not reported","Not reported","Not reported","Not reported","Neurolucida","2010-05-21","2011-06-01",1420.63,7,70,147,137.54,281.07,15.76,0.18,3551.23,2155.27,108.71,211.69,223.2,15,0.89,2773,0.56,1.99,78.5,61.36,1.02,1420.63,7,71,149,79,151.17,281.08,15.78,8249,587.27,523.437,3572.49,3575.9,789.878,7662.9,184471,235715,15901,5879,1997,4.8494,7.58107,3571.74,133.95,2776,73.6514,141.398,40.4206,0,142,141.332,141.568,5495.56,4295.81,7815.06,8985.84,4961.94,4978.36,4.02,57.17,78.31,-1.82,"138.022",3572.489,223.2066,71,0.7934566,16,1.395173,23.97644,84.91172,6.793333,0.5580018,11.05178,30.03349,17.51096,-8.973552,1,9,9,7,8,10,17,20,26,24,27,27,29,34,32,34,32,34,37,33,28,23,22,21,15,12,7,5,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"NMO_06386","30108","Masland","mouse","C57BL/6","Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles","Not reported","Not reported","Not reported","Not reported","Not reported","not reported","retina","ganglion layer","Not reported","principal cell","ganglion","Not reported","Neurolucida.dat","in vitro","Control","Multiple","whole mount","Not reported","Not reported","Not reported","Not reported","Neurolucida","2010-05-21","2011-06-01",533.08,5,32,69,262.34,362.79,8.36,0.28,3729.65,3474.81,268.9,263.86,332.45,7,0.86,2474,0.35,2.14,74.9,78.28,1.02,533.088,5,33,71,39,262.35,315.23,8.04,7123,751.808,531.137,3742.67,4007.89,436.301,2005.81,251655,333116,6672,4427,1581,2.17897,0.534693,3742.31,61.964,2477,37.5634,68.3986,12.494,0,66,70.6203,74.0756,2397.01,2505.08,3624.22,3614.57,2549,2540.73,4.38,37.4256,43.717,-0.24,"67.9376",3742.672,332.4534,33,0.7622661,8,1.362951,52.71368,134.4838,3.930556,0.7303192,34.12373,12.61387,18.15315,-1.713561,1,7,5,6,12,8,9,14,14,15,20,19,20,20,25,21,21,22,21,21,20,21,19,19,21,24,25,14,12,16,9,8,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0
"NMO_02206","030124-1","Yuste","mouse","somatostatin-GFP","Dendrites, Soma, Axon","Dendrites & Axon Moderate","Diameter, 3D, Angles","13","17","Not reported","Not reported","Not reported","young","neocortex","occipital","Not reported","interneuron","Somatostatin (SOM) containing cell","Not reported","Neurolucida.dat","in vitro","Control","biocytin","coronal","300","Not reported","water","60x","Neurolucida","2008-02-06","2008-07-15",1042.53,10,181,372,229.95,294.05,40.5,0.33,8779.92,9351.23,1252.72,204.21,380.64,12,0.88,3566,0.52,1.79,85.65,76.27,1.05,1042.53,10,182,374,193,263.16,279.01,40.5,8239,1233.91,996.933,8798.14,10393.8,959.694,6000.56,285985,647528,21224,17587,1606,10.0726,41.5008,8796.27,330.541,3569,219.223,336.313,96.4446,18.065,330.538,327.514,321.884,15502.7,13805.4,18170.4,19928.9,16271.1,15372.8,17.14,91.3933,114.69,5.37,"253.354",8779.922,380.6434,182,0.4873963,13,1.48911,23.60194,181.5278,7.560322,1.144075,5.036138,-6.565404,-1.0177,6.609712,1,10,10,11,21,26,28,42,38,36,44,46,40,58,59,62,65,67,56,55,56,47,47,43,46,41,35,30,26,25,25,19,24,20,21,18,15,10,9,5,5,4,4,3,3,3,3,3,3,0
"NMO_02210","030213-1","Yuste","mouse","C57BL/6","Dendrites, Soma, Axon","Dendrites & Axon Incomplete","Diameter, 3D, Angles","13","17","Not reported","Not reported","Not reported","young","neocortex","occipital","Not reported","interneuron","Not reported","Not reported","Neurolucida.dat","in vitro","Control","biocytin","coronal","300","Not reported","water","60x","Neurolucida","2008-02-06","2008-07-15",772.99,6,38,82,207.62,432.67,21,0.33,3863.11,3968.44,459.25,262.28,423.73,13,0.9,1275,0.52,1.75,83.67,66.91,1.02,772.991,6,39,84,46,260.3,379.2,21,3066,472.161,463.831,3878.79,4741.43,548.114,3490.54,123892,228139,5967,3192,889,3.20083,13.6186,3878.4,76.1815,1278,45.7052,70.8765,21.0764,3.345,71.8276,68.8369,67.9013,3179.59,2542.9,3951.05,4604.01,3153.39,2919,8.752,46.8698,66.955,-0.19,"74.1347",3863.105,423.7314,39,0.5697711,14,1.483482,47.11104,178.7797,6.674699,0.6652191,4.292994,11.64027,-16.77285,-0.940047,1,6,8,10,11,10,12,19,15,16,24,23,21,23,20,17,18,22,20,25,15,14,14,12,11,10,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,3,0
"NMO_00946","030213DS2","Staiger","rat","Wistar","Dendrites, Soma, Axon","Dendrites & Axon Moderate","No Diameter, 3D, Angles","20","23","Male","Not reported","Not reported","young","neocortex","somatosensory","barrel, layer 4","principal cell","pyramidal","Not reported","Neurolucida.dat","in vitro","Control","biocytin","coronal","300","Reported (no values given) Not corrected","water","40x","Neurolucida","2006-06-06","2006-09-02",865.4,6,52,110,701.04,834.38,263.73,0.45,12978.9,16141.1,3056.25,727.93,1120.31,9,0.83,4032,0.52,1.59,70.59,64.85,1.04,865.406,6,53,112,60,755.46,739.92,259.45,10488,1874.25,1706.37,12995.5,17006.6,1549.69,6648.65,874466,1407890,18984,8581,2622,4.27313,30.8852,12994.9,93.8532,4035,76.2275,90.6482,28.2029,25.11,80.0858,84.8087,81.1168,3671.16,3372.61,5684.51,6115.16,4553.66,4574.56,8.51,59.3388,67.6038,4.95,"104.488",12995.47,1120.313,53,0.6620122,10,1.268214,116.031,348.9185,5.044248,0.9243166,3.338987,-103.0326,59.98174,-57.53357,1,7,14,26,25,32,34,32,26,24,19,16,15,14,16,14,17,13,13,13,12,11,10,9,9,10,10,9,9,8,9,9,9,9,10,10,10,8,8,8,9,8,7,5,4,2,2,2,1,0
