NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,Gstat.total.cable.length,gstats.maximum.path.length,gstats.number.of.branch.points,gstats.mpeucl,gstats.maximum.branch.order,Gstats.mean.branch.angle,Gstats.mean.branch.length,gstats.mplen,gstats.mbo,gstats.field.height,gstats.field.depth,gstats.chullx,gstats.chully,gstats.chullz,Sholl 1,Sholl 2,Sholl 3,Sholl 4,Sholl 5,Sholl 6,Sholl 7,Sholl 8,Sholl 9,Sholl 10,Sholl 11,Sholl 12,Sholl 13,Sholl 14,Sholl 15,Sholl 16,Sholl 17,Sholl 18,Sholl 19,Sholl 20,Sholl 21,Sholl 22,Sholl 23,Sholl 24,Sholl 25,Sholl 26,Sholl 27,Sholl 28,Sholl 29,Sholl 30,Sholl 31,Sholl 32,Sholl 33,Sholl 34,Sholl 35,Sholl 36,Sholl 37,Sholl 38,Sholl 39,Sholl 40,Sholl 41,Sholl 42,Sholl 43,Sholl 44,Sholl 45,Sholl 46,Sholl 47,Sholl 48,Sholl 49,Sholl 50
NMO_33206,0209-02Lpy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,3450.79,7,61,129,367.97,768.43,22.72,1.9,10693.6,63551.4,32965.8,223.38,260.2,7.97,0.95,4186,0.62,1.85,68.39,48.79,1.0,3450.79,7,65,132,68,367.51,768.4,22.72,15050,8318.32,12904.0,10748.9,66488.5,17896.5,46062.7,932187.0,1085810.0,33265,9488,3531,7.61084,24.9142,10748.2,126.544,4193,104.389,119.6,39.4997,52.37,138.729,118.086,119.797,4214.34,3016.64,7346.49,8356.27,5318.65,5341.68,33.9634,157.21,175.349,-0.99,121.991,10748.92,747.252,65,0.8678193,24,1.178214,80.21579,258.9576,9.984962,0.5282937,17.1431,10.92348,94.8604,0.2304004,1,4,6,10,14,17,21,25,31,32,34,40,35,34,34,33,34,31,25,25,23,12,11,10,10,9,8,9,9,8,7,7,6,6,7,7,5,4,2,2,2,2,2,2,1,1,1,1.0,1.0,0.0
NMO_33207,0209-02Mb-upNew,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,3850.8,4,24,52,481.67,619.6,18.04,1.8,6441.26,36424.19,21169.3,178.47,194.58,3.21,0.95,2560,0.4,1.77,67.85,35.09,1.0,3850.8,4,26,53,28,481.46,619.61,18.02,7982,4998.54,8562.68,6487.96,39661.3,14953.2,39844.7,455286.0,496393.0,8198,3345,2208,8.0847,14.3171,6487.7,50.7134,2567,45.5795,46.7728,11.0066,20.455,46.1806,45.279,44.8629,1688.73,897.428,2916.18,3645.37,2264.35,2342.45,19.3116,53.4618,58.8708,-0.15,47.3928,6487.96,491.4828,26,0.9058593,6,1.232676,117.9629,193.3747,3.833333,0.7773615,22.48289,46.12018,105.6916,3.098631,1,3,5,9,9,12,13,18,21,21,21,21,21,22,22,22,22,24,24,24,24,24,23,21,21,21,21,16,16,16,15,14,13,11,8,6,6,4,3,2,2,2,1,1,1,1,1,1.0,1.0,0.0
NMO_33208,020910-02Rpy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,2681.48,6,42,90,434.53,733.57,24.1,1.85,8143.09,47513.2,24920.1,210.83,242.22,4.85,0.95,3153,0.55,1.92,84.36,41.34,1.0,2681.48,6,46,93,48,434.53,733.57,24.09,11354,6194.31,9971.71,8179.49,49799.0,15311.6,37433.2,663409.0,762170.0,15282,6048,2663,6.26287,19.2323,8179.02,89.009,3162,82.6918,85.0001,25.8285,34.475,108.702,85.5674,88.4011,3543.54,1768.31,4341.68,6344.12,3053.01,3545.46,27.9675,95.1981,109.354,0.15,85.6443,8179.495,495.5873,46,0.8715443,12,1.492789,86.09995,241.0404,6.223404,0.6700166,19.60956,-44.71542,51.01336,4.432006,1,5,6,9,8,9,11,14,17,18,16,17,18,18,20,22,21,23,24,23,23,26,28,27,26,25,24,25,24,23,22,20,19,18,17,14,13,12,12,11,11,10,8,7,4,4,4,2.0,1.0,0.0
NMO_33209,020910-03aLentirePy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,1546.77,4,47,98,404.15,848.21,13.31,1.64,9313.75,48167.6,21733.7,226.85,245.23,6.15,0.96,3695,0.5,1.86,63.57,52.61,1.0,1546.76,4,50,100,51,404.12,846.28,13.31,12890,6296.27,9026.23,9338.7,49615.1,11688.7,28953.4,837011.0,904791.0,22703,6838,3041,4.10604,19.8038,9338.17,96.2597,3701,87.3902,91.7007,24.8975,45.765,103.363,90.8515,91.4761,2987.94,2590.18,5771.61,6377.67,3757.12,4266.35,27.0058,87.036,102.899,0.31,94.5854,9338.702,768.0508,50,0.9056529,16,1.14605,92.46239,244.472,7.485149,0.4669584,33.40069,2.728833,62.5815,-5.390918,1,4,4,10,17,22,24,25,25,28,29,29,29,30,29,28,28,26,22,19,16,14,11,11,11,10,9,6,6,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,0.0
NMO_33210,020910-03aRentire,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,2082.42,3,40,83,362.7,808.81,13.43,1.81,6746.95,38425.0,20950.3,246.4,277.27,7.92,0.96,2643,0.65,1.63,61.19,49.96,1.0,2082.43,3,42,84,43,344.18,808.81,13.87,9681,5006.28,7882.03,6774.06,39821.2,11562.8,28047.3,650814.0,732346.0,20922,5915,2095,6.30255,20.2886,6773.63,80.6794,2650,70.1201,71.3804,27.7493,53.03,64.5716,68.0355,65.9259,2527.34,2053.16,4899.36,5330.6,3607.45,3728.6,19.4058,95.8073,109.209,-0.33,76.606,6774.06,687.3371,42,0.886885,18,1.1207,79.69482,276.357,9.129412,0.4771382,27.60036,25.41757,114.6132,-3.734782,1,3,4,6,7,6,9,11,11,19,16,18,16,18,18,17,15,18,17,18,14,14,12,12,11,11,10,10,9,10,9,8,7,7,8,7,5,6,6,4,3,3,2,1,1,1,1,1.0,1.0,0.0
NMO_33211,020910-04-1to29aNewPy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,2291.25,4,60,124,428.68,738.01,26.47,1.91,10648.3,63861.9,33771.6,219.48,245.39,6.97,0.94,4187,0.54,1.78,73.42,48.42,1.01,2291.25,4,63,126,64,428.69,737.96,26.49,14812,8290.59,12954.2,10675.7,65915.0,18516.1,46749.6,917772.0,1026080.0,29147,8404,3291,6.64724,22.2296,10675.1,119.666,4193,103.227,112.384,33.5715,69.95,122.276,110.561,111.0,4546.5,2972.29,6726.96,8165.32,4716.06,5152.26,44.3376,124.178,137.358,0.9,111.313,10675.74,630.6279,63,0.8869039,22,1.334892,84.06098,244.7134,8.409449,0.6498838,18.09112,20.108,69.72679,2.006628,1,4,5,11,15,16,20,25,23,29,30,33,31,30,31,32,34,33,33,30,29,28,25,26,21,19,15,11,11,12,12,10,9,10,6,5,4,3,3,4,2,2,2,2,2,2,2,2.0,1.0,0.0
NMO_33212,020910-04-1to29bPy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,754.8,2,27,56,365.15,759.57,21.88,2.03,4941.29,31696.9,19759.3,251.91,273.11,5.61,0.95,1852,0.46,1.82,77.2,56.83,1.01,754.801,2,28,56,29,394.86,759.57,19.63,6709,3859.83,6184.31,4949.93,32211.8,8030.81,22302.8,465812.0,505005.0,10375,3717,1496,26.983,10.9288,4949.62,53.4625,1853,52.8644,49.6574,12.8708,23.93,56.3357,49.8182,51.7793,2084.66,1699.0,2802.78,3466.58,1981.62,2351.66,20.2678,67.5364,70.9552,0.18,52.7893,4949.928,725.7851,28,0.8902557,13,1.411614,86.84085,272.5339,5.54386,0.5641859,16.95041,-22.44846,161.7581,4.141045,1,7,6,8,10,12,11,11,11,12,13,14,14,14,13,11,10,10,9,10,8,6,5,4,6,6,5,4,5,5,6,7,6,6,6,4,4,4,4,3,3,3,3,3,3,3,2,1.0,1.0,0.0
NMO_33213,020910-04-1to29dPy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,2039.02,3,39,81,367.8,856.04,24.69,1.97,6646.96,41358.9,22033.9,236.06,265.07,6.54,0.94,2620,0.62,1.82,71.6,63.88,1.0,2039.02,3,41,82,42,367.8,855.86,24.64,9362,5424.77,8580.79,6681.9,43265.8,12081.6,30748.8,616325.0,692039.0,17095,5723,2016,4.0893,14.8366,6681.5,77.4287,2625,59.623,75.5503,25.7134,35.37,76.8567,74.1128,73.4961,2792.7,2577.4,4335.97,4715.58,4072.15,4148.68,22.8043,84.8047,90.5162,-0.49,73.6938,6681.898,681.3345,41,0.8564587,18,1.285819,79.54641,263.634,7.975904,0.4735097,13.91888,-14.04321,111.3086,4.566286,1,4,5,9,11,14,15,16,19,19,20,19,21,15,16,15,14,13,14,14,12,11,11,9,8,8,8,8,7,7,8,7,6,7,6,6,5,6,6,4,3,4,4,4,4,3,2,1.0,1.0,0.0
NMO_33214,020910-04-3to31-01upPy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,2702.88,4,43,90,417.94,813.38,24.02,2.04,9602.0,62076.1,34701.69,240.93,267.43,5.5,0.95,3712,0.45,1.94,66.81,48.57,1.0,2702.88,4,46,92,47,417.92,813.27,24.02,13246,7956.86,12844.7,9644.16,64647.9,18809.1,48555.3,894471.0,992813.0,20446,6989,3045,6.74887,19.3965,9643.76,87.5661,3730,73.6654,86.6466,21.846,23.36,133.421,87.2766,89.9755,2968.58,2160.4,5112.03,5954.41,3077.1,3734.85,33.1196,110.537,115.119,-0.74,80.7168,9644.159,760.2432,46,0.8917814,17,1.224775,103.7006,266.1697,7.634409,0.5740653,16.42581,-27.7706,122.5542,0.7941295,1,5,8,11,14,14,19,19,21,22,23,27,34,29,28,28,27,31,28,25,20,19,16,12,12,8,9,9,7,7,7,7,5,4,3,4,4,3,3,4,5,2,2,2,2,2,2,2.0,2.0,0.0
NMO_33215,020910-B09Lpy,Kim,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",60.0,60.0,Male/Female,Not reported,Not reported,adult,hippocampus,CA1,Not reported,principal cell,pyramidal,Not reported,neuTube.swc,in vitro,Control,red fluorescent protein,horizontal,100,Reported 50% in z Not corrected,oil,40x,neuTube,2014-01-10,2015-07-07,2070.11,4,40,84,517.9,801.59,26.55,1.73,8907.43,48612.2,23035.4,238.17,254.39,4.72,0.96,3495,0.43,2.05,54.34,42.67,1.0,2070.11,4,41,84,44,516.62,802.57,26.68,12086,6336.49,9577.99,8941.51,50533.9,13545.6,32862.2,829031.0,885473.0,16426,5916,2921,3.65685,11.9194,8941.14,81.1923,3496,55.6334,82.2374,17.6499,17.255,102.436,83.8458,86.9696,2310.56,1706.93,5100.96,5587.57,3082.06,3660.2,27.4288,104.25,104.633,-0.66,76.6614,8941.508,614.2851,41,0.9190441,12,0.9911386,103.971,253.2818,5.223529,0.6839741,19.08994,-14.58298,87.17444,0.7105051,1,4,6,8,10,13,19,20,21,24,26,26,26,26,28,27,25,22,20,19,18,21,20,17,17,17,15,13,12,13,12,12,11,11,11,9,9,9,8,8,7,7,5,4,4,3,3,2.0,1.0,0.0
