NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,Gstat.total.cable.length,gstats.maximum.path.length,gstats.number.of.branch.points,gstats.mpeucl,gstats.maximum.branch.order,Gstats.mean.branch.angle,Gstats.mean.branch.length,gstats.mplen,gstats.mbo,gstats.field.height,gstats.field.depth,gstats.chullx,gstats.chully,gstats.chullz,Sholl 1,Sholl 2,Sholl 3,Sholl 4,Sholl 5,Sholl 6,Sholl 7,Sholl 8,Sholl 9,Sholl 10,Sholl 11,Sholl 12,Sholl 13,Sholl 14,Sholl 15,Sholl 16,Sholl 17,Sholl 18,Sholl 19,Sholl 20,Sholl 21,Sholl 22,Sholl 23,Sholl 24,Sholl 25,Sholl 26,Sholl 27,Sholl 28,Sholl 29,Sholl 30,Sholl 31,Sholl 32,Sholl 33,Sholl 34,Sholl 35,Sholl 36,Sholl 37,Sholl 38,Sholl 39,Sholl 40,Sholl 41,Sholl 42,Sholl 43,Sholl 44,Sholl 45,Sholl 46,Sholl 47,Sholl 48,Sholl 49,Sholl 50
NMO_06709,040712TTX,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,tetrodotoxin treatment,neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,438.95,2,36,74,728.33,602.8,98.23,0.22,7095.61,6543.62,1064.44,796.93,1366.67,13.0,0.8,13786,0.56,1.58,85.98,77.77,1.04,438.949,2,37,76,40,941.15,577.97,98.24,28125,3099.31,1920.32,7107.43,6982.57,1249.71,2361.62,4516710.0,7629040.0,91718,33423,7957,0.233454,-137.353,7107.08,61.6371,13789,56.0625,61.5732,21.3663,1.815,65.2164,59.048,57.8109,3172.2,2799.99,3012.19,3652.61,3366.08,3398.23,3.77,32.6616,34.6416,4.65,69.8053,7107.434,1366.669,37,0.6465187,14,1.545088,93.51887,553.2701,7.194805,1.514875,9.370974,-69.81448,-306.2033,-81.78035,1,2,3,5,5,6,8,6,6,8,17,18,8,8,10,16,16,10,10,18,12,8,10,9,11,9,6,6,6,5,2,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_06710,040726TTX1,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,tetrodotoxin treatment,neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,677.59,3,12,27,384.2,853.29,49.08,0.95,4340.43,12572.7,3564.81,649.29,957.91,4.0,0.81,2885,0.26,1.98,77.75,58.88,1.01,677.593,3,13,29,17,814.65,514.86,49.09,6540,2799.61,3081.26,4355.11,13250.3,2870.75,6053.67,657884.0,917662.0,7059,3823,2378,1.42986,4.35426,4354.99,24.0814,2888,16.5,25.6805,4.2,4.12,27.4495,25.7604,26.7639,933.037,706.612,1165.32,1452.78,1022.3,1014.47,6.63,45.7048,45.4498,-1.37,26.4661,4355.11,957.9192,13,0.7514165,5,1.494321,150.1762,317.7498,2.633333,1.293181,16.40533,-83.21968,-33.91157,-3.566676,1,3,3,3,5,7,9,9,8,8,8,8,11,12,10,10,8,8,7,7,7,7,8,7,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,4,2,2,1,1,1,3,1,1.0,1.0,0.0
NMO_06712,040728TTX,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,tetrodotoxin treatment,neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,799.06,4,33,70,549.62,435.26,72.17,0.31,5645.28,8731.65,3053.84,478.7,808.96,10.0,0.8,9230,0.54,1.54,97.2,68.81,1.03,799.065,4,34,72,39,500.98,580.78,72.19,19308,2959.79,2798.19,5661.23,9530.71,2769.54,6239.46,2170950.0,3699510.0,42893,28560,3873,1.91256,-117.961,5660.84,58.5918,9233,46.3228,55.7257,18.9155,9.725,54.249,53.1443,51.8431,3207.61,2270.8,2598.54,3496.39,2842.32,2946.25,9.01,48.3834,57.7184,-0.28,69.5983,5661.231,808.9619,34,0.6539918,11,1.738969,78.62821,400.6839,5.232877,0.8658027,7.497261,-94.97883,-291.6216,-55.38899,1,4,5,6,5,5,5,6,6,5,10,9,10,10,10,12,16,12,12,12,12,12,12,11,10,11,13,12,14,12,9,9,7,6,7,7,6,10,5,4,7,4,5,6,3,2,1,1.0,1.0,0.0
NMO_06713,040729TTX,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,tetrodotoxin treatment,neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,589.61,3,22,47,694.98,599.57,61.95,0.27,4714.04,6265.18,1666.54,749.1,1209.77,8.0,0.81,8352,0.59,1.71,66.67,61.0,1.03,589.611,3,23,49,27,702.73,612.66,61.97,17526,2358.11,1930.18,4727.74,6854.79,1685.58,3685.84,2242230.0,3433900.0,34094,18462,4336,2.70333,-43.6797,4727.51,40.0896,8355,28.7083,40.9797,14.1537,4.94,40.4104,39.6668,39.1801,1466.8,1342.18,2212.95,2564.31,2173.75,2147.52,8.63,38.7884,45.6834,4.34,45.6041,4727.738,1209.772,23,0.7045514,9,1.249658,96.48444,410.9989,4.26,1.040122,11.25381,-220.3521,-63.47575,-47.04933,1,4,5,6,7,8,13,14,9,13,10,11,8,8,7,6,6,6,6,5,7,9,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,3.0,1.0,0.0
NMO_06714,040811TTX1,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,tetrodotoxin treatment,neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,1074.28,5,36,77,613.95,538.25,9.76,0.38,5988.08,11169.3,3870.19,597.34,908.17,10.0,0.8,9430,0.55,1.6,94.83,86.66,1.02,1074.28,5,37,79,43,676.12,486.5,9.78,20323,3681.71,3677.01,6006.57,12243.6,3665.19,8837.12,2206910.0,3536930.0,40296,26812,6138,3.09728,-54.6819,6006.23,63.7358,9433,47.4859,62.8617,21.1536,5.55,61.4301,59.9064,58.3865,3414.06,3119.78,3067.02,3677.32,3241.0,2500.76,12.7,59.488,67.073,-1.82,74.9892,6006.571,908.1738,37,0.6969168,11,1.695358,76.03254,374.9523,4.6125,1.111467,61.46071,-139.1525,9.013473,4.136133,1,7,8,10,11,13,13,13,9,14,12,9,16,14,15,13,15,11,9,8,13,12,8,5,6,4,4,4,10,4,4,4,6,3,3,5,5,2,2,3,5,3,2,1,1,1,1,1.0,1.0,0.0
NMO_06715,040811TTX2,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,tetrodotoxin treatment,neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,716.49,4,38,80,916.4,786.62,13.48,0.33,6035.69,10069.5,3481.85,1051.22,1413.83,14.0,0.77,10996,0.5,1.59,94.12,71.2,1.03,716.495,4,39,82,44,579.52,994.0,13.49,23235,3779.54,3602.54,6050.79,10786.0,3436.22,6187.3,3557590.0,5187630.0,66380,35733,6215,2.61539,-118.015,6050.34,63.9362,10999,41.3421,65.2123,20.2369,8.28,63.9749,62.4867,61.1333,3576.9,2705.89,3095.78,3935.46,3412.89,3001.98,13.23,56.8976,62.6276,-0.27,79.9328,6050.793,1413.829,39,0.6918812,15,1.68129,73.79016,471.6458,5.590361,0.6691267,39.52355,-61.47779,200.4318,-4.475542,1,8,6,10,11,17,13,9,6,11,9,8,7,9,4,7,4,5,7,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3.0,2.0,0.0
NMO_06716,040929APV,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,D-2-amino-5-phosphonovaleric acid (D-APV),neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,1157.4,6,47,100,749.53,489.37,19.0,0.43,7974.43,11621.3,3296.54,846.5,1327.17,12.0,0.78,17102,0.39,3.39,85.17,77.27,1.03,1157.41,6,48,102,55,577.0,818.81,19.0,38489,7579.87,7461.9,7993.62,12778.7,6935.65,8851.57,3456020.0,5995830.0,86890,41468,9348,-12.6691,-292.583,7993.12,80.5112,17105,68.7141,98.7059,19.6846,15.145,137.765,161.351,447.871,4003.27,3632.04,3413.18,4990.16,4124.95,3418.74,14.61,61.7364,77.2705,0.64,97.3534,7993.616,1327.169,48,0.6780349,13,1.521081,80.74095,350.5308,5.553398,0.6446213,27.33065,-571.6198,-129.0223,-72.63443,1,7,8,12,14,22,26,29,24,27,21,15,17,15,9,10,6,5,4,3,3,5,3,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1.0,1.0,0.0
NMO_06717,041005APV1,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,D-2-amino-5-phosphonovaleric acid (D-APV),neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,413.5,3,10,23,846.29,544.75,33.93,0.51,3078.99,4933.2,628.98,871.1,1490.79,5.0,0.88,2206,0.52,2.0,53.44,91.85,1.01,413.505,3,11,25,15,884.11,472.63,33.94,4768,1159.49,920.074,3090.46,5346.7,657.496,1815.27,699407.0,1211550.0,6332,4583,1461,1.46776,2.86667,3090.36,22.2774,2209,11.0,22.1333,6.2,0.0,22.0,22.0,22.0,534.408,918.51,1209.86,1029.63,891.078,822.417,2.04,29.5808,29.5808,-0.63,22.2883,3090.46,1490.791,11,0.684777,6,1.133525,123.6184,548.4626,2.961538,1.842813,22.60465,211.6612,87.66529,7.180136,1,5,5,6,8,7,6,5,4,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_06718,041005APV2,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,D-2-amino-5-phosphonovaleric acid (D-APV),neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,1881.28,3,31,65,964.78,562.75,104.9,0.35,6784.44,14600.2,9380.08,770.9,1331.65,7.0,0.8,11687,0.58,1.31,95.36,69.58,1.04,1881.28,3,32,67,36,590.2,805.41,104.91,24266,4163.91,4801.1,6808.91,16481.5,6187.33,20889.7,2785150.0,5236640.0,53397,21690,8490,9.50123,-77.0848,6808.56,54.1562,11690,65.4542,45.5143,19.0632,7.305,45.5484,42.8499,41.6627,2956.4,2157.08,2524.3,2957.5,2949.74,2812.43,17.08,75.064,99.064,2.04,61.657,6808.908,1331.652,32,0.6261982,8,1.710639,103.1634,447.9587,4.661765,0.9374618,7.143347,-0.07211805,-145.9123,-75.73146,1,3,4,8,7,7,10,30,36,20,17,17,12,7,7,7,12,7,8,5,5,5,5,5,5,5,5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_06719,041005APV3,Bausch,rat,Sprague-Dawley,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",11.0,11.0,Not reported,Not reported,Not reported,not reported,hippocampus,dentate gyrus,Not reported,principal cell,granule,Not reported,Neurolucida.dat,culture,D-2-amino-5-phosphonovaleric acid (D-APV),neurobiotin,horizontal,400,Not reported,oil,63x,Neurolucida,2010-01-12,2011-11-08,1439.66,6,53,112,560.54,547.49,130.36,0.35,7258.18,11303.9,3477.69,481.25,764.21,10.0,0.76,13130,0.45,1.5,81.69,70.16,1.04,1439.66,6,54,114,61,631.76,488.97,130.52,28186,4718.72,4433.86,7279.58,12743.6,4211.59,11184.9,2805410.0,5323030.0,68157,45122,6145,3.57466,-172.973,7278.99,88.0394,13133,56.406,85.0094,25.3274,14.275,83.78,81.9026,80.7123,4330.01,3718.95,4129.04,5760.06,4490.79,4763.21,14.2,66.308,75.708,6.55,110.393,7279.584,764.2144,54,0.5872296,11,1.457676,63.856,405.3171,6.052174,1.33025,5.293358,102.2969,116.8176,-72.87372,1,8,6,6,6,6,8,10,12,12,12,10,12,16,14,18,18,28,23,16,13,13,12,21,16,13,9,7,8,13,14,8,10,6,6,5,5,5,4,4,3,5,3,2,2,3,1,1.0,1.0,0.0
