NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,Gstat.total.cable.length,gstats.maximum.path.length,gstats.number.of.branch.points,gstats.mpeucl,gstats.maximum.branch.order,Gstats.mean.branch.angle,Gstats.mean.branch.length,gstats.mplen,gstats.mbo,gstats.field.height,gstats.field.depth,gstats.chullx,gstats.chully,gstats.chullz,Sholl 1,Sholl 2,Sholl 3,Sholl 4,Sholl 5,Sholl 6,Sholl 7,Sholl 8,Sholl 9,Sholl 10,Sholl 11,Sholl 12,Sholl 13,Sholl 14,Sholl 15,Sholl 16,Sholl 17,Sholl 18,Sholl 19,Sholl 20,Sholl 21,Sholl 22,Sholl 23,Sholl 24,Sholl 25,Sholl 26,Sholl 27,Sholl 28,Sholl 29,Sholl 30,Sholl 31,Sholl 32,Sholl 33,Sholl 34,Sholl 35,Sholl 36,Sholl 37,Sholl 38,Sholl 39,Sholl 40,Sholl 41,Sholl 42,Sholl 43,Sholl 44,Sholl 45,Sholl 46,Sholl 47,Sholl 48,Sholl 49,Sholl 50
NMO_08957,01012012-cell-1,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,615.18,3,2,7,109.34,359.11,69.68,0.16,763.09,383.57,15.34,338.15,460.67,2.0,0.81,228,0.5,2.0,65.86,68.08,1.03,615.187,3,3,9,7,99.31,359.11,69.68,687,78.4704,171.688,777.088,998.762,312.32,2168.01,26463.8,36481.4,66,273,199,0.911991,2.96571,777.05,7.73635,231,3.0,6.03429,2.0,0.0,6.0,6.0,6.0,131.725,136.172,248.691,212.164,268.446,19.7249,0.16,28.7936,42.6304,2.13,7.2367,777.0878,460.6763,3,0.7955186,3,1.813542,86.34309,157.9282,1.5,0.2923394,1.535148,5.997186,90.85619,-21.98247,1,5,3,6,6,4,4,4,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_08956,01012012-cell-5,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,576.8,2,2,6,109.01,202.68,15.36,0.16,401.53,201.83,8.07,163.46,202.53,2.0,0.9,90,0.5,2.0,61.12,37.97,1.01,576.806,2,3,8,6,108.06,202.68,15.37,273,55.0634,155.468,415.076,778.637,290.402,1962.65,5929.07,7409.06,115,114,80,0.961319,1.97639,415.03,7.41939,93,3.0,6.02361,2.0,0.0,6.0,6.0,6.0,200.853,75.9585,234.678,275.575,170.54,26.1606,0.16,27.749,34.4462,-0.47,6.11955,415.0758,202.5354,3,0.8943473,3,1.75841,51.88448,79.66735,1.555556,0.539811,7.507482,5.930108,48.20978,-4.188065,1,4,4,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_08955,01042012-cell-1,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,433.13,3,3,9,152.18,357.11,11.37,0.16,776.73,390.43,15.61,220.82,271.87,1.0,0.9,191,0.0,2.0,64.99,50.01,1.01,433.133,3,4,11,8,141.5,357.12,11.37,576,65.813,133.07,788.471,823.564,220.745,1288.05,17380.8,20794.2,165,227,167,1.37852,2.95915,788.41,10.1383,194,4.0,8.04085,1.0,0.0,8.0,8.0,8.0,194.992,150.032,322.148,406.102,171.248,310.973,0.48,24.462,24.462,-0.74,8.14891,788.4714,271.8722,4,0.9067784,2,1.636212,71.67922,107.1865,1.416667,0.4641241,10.68687,19.01582,2.015155,-2.228351,1,5,3,5,4,4,5,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1.0,1.0,0.0
NMO_08954,01042012-cell-5,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,1337.84,3,1,5,239.16,349.35,86.42,0.16,750.06,377.02,15.08,319.33,376.63,1.0,0.87,161,0.0,2.0,82.62,74.27,1.01,1337.84,3,2,7,6,236.43,349.35,86.42,486,87.6884,291.672,770.692,1714.86,672.593,6919.26,21108.9,24397.4,122,179,153,1.13893,2.97675,770.66,6.3739,164,2.0,4.02325,1.0,0.0,4.0,4.0,4.0,82.625,74.2719,113.536,137.456,100.284,158.621,0.16,41.9256,62.4084,2.14,5.07381,770.6915,376.6303,2,0.9075778,2,2.291835,110.0988,148.7644,1.125,0.692324,2.717719,-23.44488,101.2694,-3.864817,1,5,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_00945,010626DS1,Staiger,rat,Wistar,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,884.4,4,36,76,273.97,912.57,14.0,0.8,4595.45,12282.0,3549.42,781.9,860.36,8.0,0.84,1664,0.46,1.31,79.65,70.44,1.06,884.403,4,37,78,42,860.92,364.47,14.77,5909,1392.95,1534.41,4612.22,13166.4,1551.67,7260.99,303174.0,366932.0,7510,2910,1238,5.59584,34.1639,4611.83,66.4821,1667,51.0054,56.2325,17.9008,58.82,39.9072,49.1919,44.0929,2867.6,2535.88,4296.25,4188.26,1752.3,2060.71,14.06,68.3036,77.0886,-1.73,68.1226,4612.222,860.3623,37,0.7255601,9,1.437584,59.13105,220.1153,4.708861,2.166037,44.82957,-126.8635,10.99635,-5.338128,1,8,12,24,22,22,22,14,12,8,6,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4.0,3.0,0.0
NMO_08953,01112012-cell-1,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,1001.88,2,1,4,52.35,312.58,6.88,0.16,428.92,215.6,8.62,295.17,349.11,1.0,0.91,85,0.0,2.0,166.95,120.62,1.01,1001.88,2,2,6,5,49.89,312.59,6.88,258,67.2045,232.03,446.773,1217.49,503.219,4484.08,13437.7,14749.4,64,106,73,0.766502,1.98209,446.74,5.6729,88,2.0,4.01791,1.0,0.0,4.0,4.0,4.0,307.887,120.628,69.3301,51.6132,171.115,176.764,0.16,36.2163,45.0704,-0.16,4.07535,446.7734,349.1097,2,0.8686841,2,3.02777,74.46224,167.6069,1.142857,0.1738873,7.764951,4.243977,148.3072,-3.65875,1,4,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.0,1.0,0.0
NMO_08952,01112012-cell-2,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,858.97,6,3,12,274.92,199.21,7.72,0.16,923.97,464.44,18.57,241.23,276.23,2.0,0.91,202,0.33,2.0,54.01,32.47,1.01,858.978,6,4,14,11,263.62,199.21,7.72,609,81.9594,214.848,940.503,1323.42,434.123,3571.84,17870.2,20946.6,154,289,138,1.87999,5.94198,940.44,12.956,205,4.0,8.05802,2.0,0.0,8.0,8.0,8.0,162.06,97.4118,340.717,448.372,359.911,358.247,0.32,34.533,67.3059,-0.37,12.2296,940.5026,276.2392,4,0.903613,3,1.492516,67.17876,102.1786,1.466667,1.312838,30.86349,41.10273,44.20263,-0.7325854,1,8,6,6,6,7,7,7,7,5,7,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1.0,1.0,0.0
NMO_08951,01122012-cell-2,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,1263.53,4,4,12,155.77,395.47,17.17,0.16,1008.34,506.84,20.27,262.59,346.34,2.0,0.91,212,0.0,2.0,94.43,36.9,1.01,1263.53,4,5,14,10,160.81,394.83,17.18,639,94.0952,283.072,1028.39,1770.38,636.256,6356.36,24691.7,30769.4,183,339,143,0.899897,3.96809,1028.33,12.9244,215,5.0,10.0319,1.0,0.0,10.0,10.0,10.0,377.748,147.606,399.744,545.999,190.639,132.531,0.48,41.3968,61.2952,1.12,11.2135,1028.393,346.342,5,0.8627081,3,1.946907,73.45663,143.1137,1.733333,0.4309104,9.273057,27.16395,50.91028,5.366698,1,6,4,4,4,4,4,4,4,4,3,3,3,3,4,4,7,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,1.0,1.0,0.0
NMO_08950,01122012-cell-3,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,1543.94,4,3,10,93.7,487.91,15.82,0.16,1395.72,701.56,28.06,438.66,459.36,1.0,0.89,274,0.0,2.0,63.77,53.41,1.02,1543.94,4,4,12,9,93.63,486.17,15.83,825,110.366,330.813,1417.88,2245.5,777.946,8587.41,48784.2,54995.9,92,389,172,0.887331,3.97114,1417.83,10.9864,277,4.0,8.02886,1.0,0.0,8.0,8.0,8.0,191.335,160.237,419.068,404.764,330.878,346.627,0.48,45.4708,56.4785,1.16,9.21797,1417.881,459.3683,4,0.9044621,2,1.620255,118.1568,198.5413,1.384615,0.1928041,5.658902,13.31184,163.128,3.237617,1,6,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,1.0,1.0,0.0
NMO_08949,01122012-cell-5,Uteshev,rat,Sprague-Dawley,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,30.0,Male,Not reported,Not reported,adult,myelencephalon,solitary nucleus,caudal,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,neurobiotin,horizontal,300,Reported (no values given) Not corrected,Not reported,Not reported,Neurolucida,2013-03-15,2013-05-06,686.12,3,2,7,129.28,483.46,9.09,0.16,876.64,440.65,17.62,275.09,354.59,1.0,0.85,233,0.0,2.0,72.71,91.66,1.02,686.123,3,3,9,7,145.96,483.46,9.09,702,81.6387,185.484,891.416,1126.77,348.112,2553.92,28755.1,35604.4,190,277,200,1.07686,2.96754,891.36,7.96617,236,3.0,6.03246,1.0,0.0,6.0,6.0,6.0,145.428,183.335,266.036,234.179,323.21,353.773,0.32,30.3724,37.6855,-0.53,7.20868,891.4155,354.592,3,0.8734927,2,1.893264,99.04617,150.866,1.3,0.3093299,14.5433,28.26691,5.604831,4.089322,1,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1.0,1.0,0.0
