NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,Gstat.total.cable.length,gstats.maximum.path.length,gstats.number.of.branch.points,gstats.mpeucl,gstats.maximum.branch.order,Gstats.mean.branch.angle,Gstats.mean.branch.length,gstats.mplen,gstats.mbo,gstats.field.height,gstats.field.depth,gstats.chullx,gstats.chully,gstats.chullz,Sholl 1,Sholl 2,Sholl 3,Sholl 4,Sholl 5,Sholl 6,Sholl 7,Sholl 8,Sholl 9,Sholl 10,Sholl 11,Sholl 12,Sholl 13,Sholl 14,Sholl 15,Sholl 16,Sholl 17,Sholl 18,Sholl 19,Sholl 20,Sholl 21,Sholl 22,Sholl 23,Sholl 24,Sholl 25,Sholl 26,Sholl 27,Sholl 28,Sholl 29,Sholl 30,Sholl 31,Sholl 32,Sholl 33,Sholl 34,Sholl 35,Sholl 36,Sholl 37,Sholl 38,Sholl 39,Sholl 40,Sholl 41,Sholl 42,Sholl 43,Sholl 44,Sholl 45,Sholl 46,Sholl 47,Sholl 48,Sholl 49,Sholl 50
NMO_08919,08-5907-allNN2trac-1,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",21,21,Male/Female,Not reported,Not reported,embryonic,brainstem,cochlear nucleus,nucleus magnocellularis,principal cell,Not reported,Not reported,Neurolucida.dat,in vitro,Control,Alexa Fluor 594,coronal,1000,Not reported,dry,20x,Neurolucida,2013-03-01,2013-05-06,2232.65,1,8,17,1154.15,2095.59,293.45,10.0,6015.28,188976.0,472439.0,2086.33,3557.36,6.0,0.75,1366,0.52,2.0,91.33,71.75,1.02,2232.65,1,9,19,11,1027.66,2095.54,293.46,4101,13740.0,43609.8,6041.94,191208.0,108402.0,487322.0,931328.0,2119200.0,2206,4554,702,0.0235327,0.624962,6041.84,14.8536,1369,9.0,18.375,5.16667,0.0,18.0,18.0,18.0,730.657,574.051,633.547,649.48,940.572,945.197,30.0,143.328,143.328,1.13,16.3815,6041.936,3557.356,9,0.2895331,7,1.765996,317.9966,1547.989,3.75,0.5599711,3.773085,-67.15928,481.7139,184.1146,1,1,1,1,1,5,5,8,9,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0
NMO_08917,10-2900-control-cell10,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Control,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,3653.57,22,70,162,44.66,58.75,16.8,0.03,1311.16,125.52,0.96,40.81,55.48,6.0,0.91,636,0.53,2.04,95.94,73.7,1.02,3653.57,22,71,163,93,33.25,58.65,17.1,2009,1691.68,6957.85,1394.07,3714.86,22845.3,14103.8,14521.1,21118.6,1403,1221,562,14.7187,20.489,1393.23,148.069,737,73.0678,143.126,38.7,0.0,142.0,145.558,147.473,6716.38,5159.12,6457.63,7828.27,5595.13,6233.91,0.81,14.9149,31.4471,-0.76,81.9181,1394.072,82.91643,71,0.8227454,7,1.654415,8.552588,28.65477,3.067073,0.7707212,2.353052,2.902103,2.713392,-4.847666,1,25,25,25,27,27,25,25,25,25,28,30,30,32,32,34,35,37,40,41,42,41,41,47,43,45,49,51,46,41,40,35,29,23,18,13,10,5,5,3,3,4,3,1,1,1,1,1.0,1.0,0.0
NMO_08916,10-2900-control-cell2,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Control,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,1066.74,23,65,153,35.33,63.15,12.3,0.36,1085.74,1203.1,122.74,40.83,52.48,8.0,0.91,589,0.39,1.95,88.6,68.8,1.03,1066.74,23,66,154,89,35.83,63.18,12.3,1803,750.703,2244.13,1109.13,2263.47,6630.85,4138.33,12403.8,15573.7,1642,1330,436,7.91796,23.5826,1108.36,140.967,625,71.3888,130.402,26.6117,0.69,130.269,129.85,130.215,5759.33,4472.02,6765.77,7694.03,5169.67,5253.04,10.88,39.5936,53.8596,-0.45,73.2034,1109.126,52.48567,66,0.8150299,9,1.555321,7.202114,24.91789,3.716129,0.6116927,3.126477,2.772192,1.428384,-5.04608,1,24,24,24,24,24,24,24,24,25,25,27,30,27,27,26,32,30,31,37,38,40,38,36,34,35,30,25,26,24,20,17,17,15,11,12,9,8,9,4,4,3,2,2,2,3,1,1.0,1.0,0.0
NMO_08915,10-2900-control-cell6,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Control,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,610.62,11,64,139,47.7,76.11,21.28,0.63,1047.26,2136.67,418.63,49.93,82.94,11.0,0.85,1007,0.57,2.13,70.22,77.54,1.02,610.622,11,65,140,76,43.73,75.91,21.28,3059,1035.65,1848.34,1066.31,2751.24,3756.43,2049.72,23994.5,36302.9,3431,2803,630,3.92912,16.0427,1065.62,120.091,1045,91.7517,130.046,37.8046,11.59,185.118,138.68,161.403,4353.68,4962.57,7091.09,6769.74,5025.38,5470.21,14.52,54.4808,59.0618,0.74,99.7042,1066.309,82.94676,65,0.6875345,12,1.196704,7.670283,34.7396,4.595745,0.6705635,2.102639,-1.694947,3.486632,-1.864344,1,12,12,12,12,12,12,12,15,14,20,21,21,18,19,24,20,24,21,23,25,27,28,27,24,23,19,15,17,13,13,11,15,12,9,8,6,6,5,4,5,8,5,3,3,2,2,2.0,1.0,0.0
NMO_08914,10-2904-control-cell2,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Control,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,1538.31,26,116,258,32.0,68.49,15.29,0.05,1560.48,245.12,3.06,52.08,61.95,8.0,0.91,1111,0.47,2.0,86.98,80.9,1.03,1538.31,26,118,261,144,33.07,68.53,15.59,3375,663.557,2397.06,1596.02,1700.59,7430.11,5371.76,24503.3,31475.0,3242,2447,766,6.71816,25.8216,1594.76,237.986,1153,119.028,235.346,56.1312,0.0,236.0,236.287,236.518,10090.5,9384.84,11972.4,12624.9,9342.24,10159.9,12.1986,24.5754,54.8513,0.34,135.037,1596.018,61.95972,118,0.7840678,9,1.506342,6.184743,27.29837,3.996183,0.4589519,1.915962,-3.295898,6.621995,-2.39686,1,28,28,28,28,28,28,30,32,33,36,36,43,48,43,42,41,31,35,34,35,31,36,38,45,36,32,29,24,17,12,11,10,8,7,5,3,2,2,3,3,3,4,3,2,2,1,1.0,1.0,0.0
NMO_08913,10-2909-CR8h-s1-left-cell1,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Cochlea removal,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,764.27,19,93,205,34.38,41.95,9.3,0.03,946.84,89.23,0.66,38.57,43.61,10.0,0.93,721,0.52,2.0,88.62,75.81,1.02,764.273,19,94,206,113,34.82,41.89,9.61,2196,481.378,1761.89,965.06,850.182,5325.84,2702.08,14765.2,17844.6,2476,1674,509,5.35466,18.0842,964.04,191.675,754,94.4137,187.533,49.5406,0.0,188.0,188.681,188.998,8242.21,7050.88,9349.27,10110.8,7245.86,7241.62,0.99,10.0997,18.5888,-1.28,79.7061,965.06,43.61849,94,0.8190467,11,1.554375,4.729294,23.66664,4.541063,0.9582185,3.861538,9.689987,2.370491,-5.299775,1,20,20,20,20,20,20,20,20,21,21,23,25,26,26,25,26,27,31,30,32,31,32,33,34,33,29,30,24,20,25,20,20,15,15,12,10,9,9,6,5,5,2,2,2,1,1,1.0,0.0,
NMO_08912,10-2909-CR8h-s3-right-cell2,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Cochlea removal,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,76.46,21,94,209,28.42,40.75,14.69,0.38,829.14,1024.15,105.93,27.46,36.3,9.0,0.91,766,0.49,2.01,92.72,77.88,1.02,76.4686,21,95,210,116,28.24,40.68,14.69,2321,322.94,240.542,844.829,1058.98,163.566,146.388,11183.8,13308.1,2213,1674,534,13.1401,20.7853,843.72,192.223,789,95.877,191.086,47.2657,0.0,190.0,191.466,192.187,8716.4,7320.8,9237.06,10368.5,8403.12,8276.28,13.29,53.1259,69.0359,1.47,68.875,844.8288,36.30515,95,0.8560793,10,1.60645,4.022994,16.86706,4.255924,0.7038945,1.964347,2.693156,-0.1631179,-0.1155767,1,22,22,22,22,22,22,22,22,22,23,23,25,28,28,31,33,37,38,40,41,44,44,42,37,41,36,32,31,33,26,26,23,22,16,14,12,10,9,8,5,5,4,2,2,1,1,1.0,1.0,0.0
NMO_08911,10-2909-CR8h-s4-left-cell4,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Cochlea removal,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,956.67,22,95,212,30.38,40.64,9.6,0.03,1005.83,97.49,0.77,32.79,46.74,12.0,0.92,793,0.44,1.95,94.23,80.83,1.02,956.678,22,96,213,118,30.87,40.58,9.6,2420,605.437,2238.64,1027.5,1056.75,6779.95,3565.8,14850.7,18467.6,2939,1726,579,10.58,25.2091,1026.4,197.708,834,103.48,188.221,43.4306,0.0,192.0,188.453,188.088,8952.17,7679.72,9236.12,10324.9,8153.29,7567.72,1.14,12.9252,33.1544,-0.84,95.4199,1027.499,46.74691,96,0.8285608,13,1.649133,4.868351,22.14343,4.574766,0.8318163,2.913768,-7.950372,2.570564,-6.453633,1,23,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,27,31,32,38,47,56,58,52,47,49,37,36,30,25,22,18,15,14,13,12,13,8,8,10,9,3,3,3,3,2.0,0.0,
NMO_08910,10-2909-CR8h-s5-left-cell3,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Cochlea removal,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,793.96,33,92,217,31.26,41.34,9.9,0.03,1161.58,109.47,0.82,28.68,35.03,8.0,0.91,820,0.47,2.0,89.93,76.81,1.02,793.969,33,93,218,126,25.61,41.32,9.9,2489,406.752,1421.47,1180.5,933.389,4132.5,2960.02,13371.8,15850.9,1980,1647,596,18.4659,32.9461,1179.36,200.101,849,93.1562,185.287,45.1325,0.0,186.0,186.243,186.337,8274.26,7067.39,9132.18,10006.1,7440.09,7749.66,1.23,12.5322,38.4197,-1.99,97.2401,1180.499,35.03072,93,0.8469747,9,1.571473,5.464027,18.67004,3.47032,0.7198321,2.660978,-2.531802,1.869706,-5.229376,1,34,34,34,34,34,34,34,34,34,34,34,35,35,36,44,46,49,47,51,49,51,53,55,54,52,52,49,45,49,48,42,37,35,32,23,18,17,12,6,3,1,1,1,1,1,1,1.0,0.0,
NMO_08909,10-2909-CR8h-s6-right-cell3,Rubel,chicken,White leghorn,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",4,7,Male/Female,45 grams,55 grams,young,brainstem,nucleus laminaris,Not reported,principal cell,bipolar,Not reported,Neurolucida.dat,in vivo,Cochlea removal,Alexa Fluor 488,coronal,50,Not reported,oil,60x,Neurolucida,2013-03-07,2013-05-06,619.58,38,113,264,35.18,43.55,9.3,0.03,1314.85,127.56,1.02,29.02,36.02,9.0,0.93,947,0.52,2.0,87.47,74.03,1.02,619.588,38,114,265,152,35.21,41.42,9.3,2866,318.513,1015.74,1330.91,736.555,2758.33,1932.78,15462.5,18559.3,2669,1858,731,23.364,38.2343,1329.6,247.319,972,114.167,227.325,60.5538,0.0,228.0,228.26,228.361,9884.41,8366.14,11145.2,12338.4,10041.0,9748.82,1.26,13.9472,72.7622,-1.98,111.629,1330.912,36.02248,114,0.8407947,10,1.532792,5.059595,19.09389,3.928571,0.9416028,3.524806,4.479712,0.5423868,-3.298621,1,39,39,39,39,39,39,39,39,39,39,42,42,42,40,40,46,45,49,48,51,53,53,57,57,55,62,61,65,51,54,47,41,31,28,21,20,18,18,16,13,10,11,7,7,5,3,1.0,0.0,
