NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,gstats 0,gstats 1,gstats 2,gstats 3,gstats 4,gstats 5,gstats 6,gstats 7,gstats 8,gstats 9,gstats 10,gstats 11,gstats 12,gstats 13,gstats 14,gstats 15,gstats 16,gstats 17,gstats 18,gstats 19,gstats 20,gstats 21,gstats 22,gstats 23,gstats 24,gstats 25,gstats 26,gstats 27,gstats 28,gstats 29,gstats 30,gstats 31,gstats 32,gstats 33,gstats 34,gstats 35,gstats 36,gstats 37,gstats 38,gstats 39,gstats 40,gstats 41,gstats 42,gstats 43,gstats 44,gstats 45,gstats 46,gstats 47,gstats 48,gstats 49,gstats 50,gstats 51,gstats 52,gstats 53,gstats 54,gstats 55,gstats 56,gstats 57,gstats 58,gstats 59,gstats 60,gstats 61,gstats 62,gstats 63,gstats 64,gstats 65
NMO_06135,AK123,Cauli,rat,Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","Diameter, 3D, Angles",18.0,18.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 3-4",principal cell,pyramidal,Star,Neurolucida.dat,in vitro,Control,Multiple,coronal,300.00,Not reported,Not reported,Not reported,Neurolucida,2009-10-02,2011-03-10,832.89,7,43,93,256.95,589.94,34.79,0.87,6437.26,12060.2,3892.05,501.11,675.89,9.0,0.93,1537,0.39,1.57,69.8,67.01,1.02,832.891,7.0,44.0,95.0,52.0,578.29,274.57,34.8,4376.0,1401.05,1739.21,6453.54,12893.0,1881.92,7282.93,177013.0,265384.0,5598.0,2871.0,1116.0,3.9423,24.1217,6453.1,88.5656,1540.0,90.2713,73.7323,18.0227,22.14,68.5294,69.7566,68.2542,3001.48,2881.47,5065.74,5115.27,3239.69,2861.04,18.48,73.8697,86.8122,0.47,78.8838,AK123,6453.537,675.8972,44,0.7387912,10,1.261984,67.93197,172.3272,4.572917,2.339755,17.88356,-51.02823,-11.45226,-8.092071,1,7,14,19,24,29,28,29,33,27,25,19,18,14,12,11,12,10,10,10,10,9,9,9,8,8,7,6,6,6,6,6,5,4,4,4,3,3,3,3,3,3,3,2,1,1,1,1.0,1.0,0.0,
NMO_06141,BC126,Cauli,rat,Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","Diameter, 3D, Angles",16.0,16.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 2",principal cell,pyramidal,Oblique,Neurolucida.dat,in vitro,Control,Multiple,coronal,300.00,Not reported,Not reported,Not reported,Neurolucida,2009-10-02,2011-03-10,686.79,9,59,127,357.4,476.12,32.0,1.25,5818.27,18237.7,7243.4,399.6,461.21,7.0,0.92,1774,0.49,1.43,74.15,63.89,1.02,686.796,9.0,60.0,129.0,70.0,331.03,452.71,32.0,5456.0,2271.11,2963.49,5833.05,18924.5,3219.94,9783.04,156730.0,200526.0,6201.0,3149.0,1347.0,8.81884,30.2308,5832.38,118.965,1777.0,88.0195,94.3087,30.1286,67.44,87.2149,86.6069,85.4504,4374.9,3769.83,6945.28,7506.36,5399.91,5495.44,34.51,110.812,128.897,1.88,103.983,BC126,5833.054,461.2126,60,0.8167425,8,1.324968,45.21747,112.8453,3.946154,0.9903944,15.72361,-5.575031,3.333292,1.140051,1,11,17,27,30,39,40,36,33,33,31,22,17,16,13,13,12,13,13,13,17,12,11,10,8,9,7,7,5,5,5,5,5,4,3,3,3,3,2,2,1,1,1,1,1,1,1,1.0,1.0,0.0,
NMO_37105,C010306E,Markram,rat,Han Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",14.0,14.0,Male,Not reported,Not reported,young,neocortex,somatosensory,layer 1,interneuron,pyramidal,Small,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,200.00,"Reported 10% in xy, 25% in z Corrected (no values given)",water or oil,60x,Neurolucida,2015-03-06,2016-03-04,396.75,6,50,106,164.78,301.9,133.29,0.54,3418.63,6037.19,1001.86,288.96,461.92,16.0,0.84,1666,0.54,1.76,92.39,93.75,1.06,396.753,6.0,51.0,108.0,58.0,138.14,301.86,133.29,3628.0,925.357,793.136,3429.87,6433.94,621.518,2116.96,163258.0,276007.0,12934.0,5035.0,1041.0,4.6219,18.5798,3429.33,90.6599,1669.0,61.0489,93.8731,28.0818,21.88,85.6312,90.2025,87.8042,4619.71,4687.74,4757.88,4929.64,4973.72,4662.85,9.95,53.0345,56.3045,5.52,92.9742,C010306E,3429.865,461.9158,51,0.6388328,17,1.642564,31.75801,165.3729,8.623853,0.5715917,1.303508,6.677262,-72.35775,33.25174,1,6,6,9,14,19,21,16,15,15,10,11,11,15,16,15,17,13,9,11,13,6,5,4,4,3,4,4,2,2,1,2,2,2,1,2,3,4,3,3,3,1,1,1,1,1,2,1.0,1.0,0.0,
NMO_37106,C010306M,Markram,rat,Han Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",14.0,14.0,Male,Not reported,Not reported,young,neocortex,somatosensory,layer 1,interneuron,pyramidal,Descending,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,200.00,"Reported 10% in xy, 25% in z Corrected (no values given)",water or oil,60x,Neurolucida,2015-03-06,2016-03-04,486.72,4,49,102,460.05,281.01,98.87,0.47,5249.55,7845.08,1072.23,593.32,692.29,13.0,0.86,2973,0.53,1.66,90.07,85.97,1.03,486.717,4.0,50.0,104.0,55.0,648.85,281.02,98.82,7021.0,1430.51,1116.22,5261.99,8331.8,805.026,2587.52,311712.0,508155.0,16532.0,5673.0,2195.0,3.95219,19.3689,5261.47,89.8026,2976.0,63.5303,87.8565,26.9887,11.93,80.6897,83.18,79.9976,4413.24,4212.34,5025.14,5206.44,3526.62,3882.46,7.97,49.4563,51.3513,-6.27,90.9737,C010306M,5261.988,692.2922,50,0.6621665,14,1.603343,50.59604,170.7511,5.714286,1.906463,6.522275,-38.1318,11.84564,3.694533,1,4,15,23,28,29,28,28,22,20,13,8,9,9,4,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,
NMO_00255,C030796A-P1,Markram,rat,Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",13.0,16.0,Not reported,Not reported,Not reported,young,neocortex,somatosensory,layer 5,principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,80.00,"Reported 10% in xy, 25% in z Corrected (no values given)",Not reported,60x,Neurolucida,2005-12-31,2006-08-01,2867.54,13,161,335,651.81,1682.76,280.14,0.54,27437.2,49318.8,12428.0,1060.2,2363.98,21.0,0.87,3370,0.52,1.77,75.29,62.25,1.04,2867.54,13.0,162.0,337.0,176.0,894.82,1686.97,280.16,9851.0,1921.68,2065.71,27467.4,52186.3,2614.05,34087.9,1339310.0,2256910.0,31060.0,10747.0,2101.0,11.2738,66.6275,27465.7,295.064,3373.0,264.648,291.031,85.0697,17.21,288.938,287.164,290.139,12121.9,10023.2,16151.7,18407.8,12807.2,12655.9,30.73,151.198,206.824,-0.37,225.972,C030796A-P1,27467.38,2363.99,162,0.6768549,22,1.325367,81.50558,669.1098,9.630178,0.5971788,3.512576,-38.41557,136.6965,9.920385,1,14,17,23,36,41,42,41,39,39,35,32,41,28,24,16,18,16,14,15,13,12,12,13,13,12,10,9,9,12,15,15,11,11,10,9,8,8,7,8,8,7,10,9,9,11,13,14.0,7.0,0.0,
NMO_36860,C060109A1,Markram,rat,Han Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",14.0,14.0,Male,Not reported,Not reported,young,neocortex,somatosensory,layer 5,principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,200.00,"Reported 10% in xy, 25% in z Corrected (no values given)",water or oil,60x,Neurolucida,2015-03-06,2016-03-04,1387.92,7,109,225,1207.84,1544.58,225.04,0.65,21292.2,46310.5,13648.5,1514.38,2000.51,15.0,0.87,7687,0.49,1.59,80.15,56.9,1.04,1387.92,7.0,110.0,227.0,118.0,1209.63,1544.65,228.8,21808.0,5025.08,5047.65,21313.2,47698.4,4712.94,20942.7,3105570.0,4100900.0,48933.0,21538.0,4637.0,8.38669,60.0249,21312.1,197.19,7690.0,163.229,187.429,53.9156,73.615,163.218,175.849,167.787,8736.53,6202.28,12154.9,13826.4,8647.72,8681.77,29.2,123.904,133.659,-8.06,211.356,C060109A1,21313.2,2000.515,110,0.7783088,16,1.414753,93.89076,533.2769,6.741228,1.020101,6.752525,142.9587,129.1208,-44.98713,1,22,32,35,50,43,28,20,16,17,16,9,7,7,7,9,6,6,5,4,5,4,4,5,6,7,6,8,9,10,10,10,13,13,18,11,5,4,3,1,1,2,2,1,1,1,1,1.0,1.0,0.0,
NMO_36845,C060109A2,Markram,rat,Han Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",14.0,14.0,Male,Not reported,Not reported,young,neocortex,somatosensory,layer 5,principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,200.00,"Reported 10% in xy, 25% in z Corrected (no values given)",water or oil,60x,Neurolucida,2015-03-06,2016-03-04,1493.32,9,150,309,670.13,1567.25,223.36,0.68,21541.2,48243.6,14227.1,1060.49,1217.28,25.0,0.87,7486,0.54,1.75,75.86,59.62,1.04,1493.32,9.0,151.0,311.0,161.0,670.55,1567.15,222.44,21476.0,5126.28,5189.21,21563.0,49737.0,4900.19,22367.2,2207830.0,2973800.0,63077.0,22031.0,4865.0,9.98163,46.443,21561.4,271.868,7489.0,229.985,271.449,82.6809,55.05,271.482,264.424,264.167,11379.4,8942.4,16203.4,18463.3,13390.4,13027.4,31.97,152.158,187.587,8.27,286.542,C060109A2,21563.01,1217.281,151,0.7480067,26,1.336086,69.33442,397.0897,8.887821,0.5502177,3.683626,-13.63032,100.6803,-50.35621,1,10,29,35,39,46,67,49,38,38,30,23,20,16,16,16,14,13,12,12,11,5,5,5,5,4,4,2,2,1,3,3,3,3,3,3,5,5,7,8,8,8,9,9,14,11,7,6.0,2.0,0.0,
NMO_36846,C060109A3,Markram,rat,Han Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",14.0,14.0,Male,Not reported,Not reported,young,neocortex,somatosensory,layer 5,principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,200.00,"Reported 10% in xy, 25% in z Corrected (no values given)",water or oil,60x,Neurolucida,2015-03-06,2016-03-04,1340.13,10,105,220,555.38,1655.85,165.17,0.62,17512.4,34983.9,9448.68,990.57,1257.83,14.0,0.86,5756,0.49,1.63,82.86,66.6,1.04,1340.13,10.0,106.0,222.0,117.0,554.45,1655.83,167.93,16511.0,3620.62,3655.64,17533.0,36324.1,3463.91,16371.4,1494190.0,2128380.0,31320.0,14761.0,3732.0,8.09561,63.3336,17531.9,192.233,5759.0,135.03,178.639,52.6074,54.415,,169.427,,8699.84,6992.64,10914.6,12753.8,8869.13,8987.14,26.91,111.696,121.451,-1.9,208.506,C060109A3,17533.05,1257.83,106,0.7351917,15,1.462099,78.97769,369.5753,5.955157,0.4422871,3.231348,8.635576,39.53578,30.65022,1,10,28,44,51,57,49,37,29,29,21,14,15,16,9,6,7,7,5,5,5,5,11,7,8,8,7,6,7,6,5,3,4,4,5,3,4,4,5,5,4,4,4,4,5,5,7,5.0,2.0,0.0,
NMO_36847,C060110A2,Markram,rat,Han Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",14.0,14.0,Male,Not reported,Not reported,young,neocortex,somatosensory,layer 5,principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,200.00,"Reported 10% in xy, 25% in z Corrected (no values given)",water or oil,60x,Neurolucida,2015-03-06,2016-03-04,1497.64,8,144,296,646.51,1569.19,256.68,0.62,25588.9,51248.6,12613.3,1014.9,1285.47,20.0,0.85,9847,0.48,1.68,78.58,65.39,1.04,1497.64,8.0,145.0,298.0,154.0,646.95,1569.02,255.41,28083.0,6154.04,5965.25,25610.7,52746.2,5327.72,20789.9,3172070.0,4474440.0,73321.0,27772.0,6385.0,7.91564,64.266,25609.2,254.838,9850.0,205.354,256.166,70.4727,46.27,232.618,244.538,236.48,11315.6,9416.76,15437.2,17647.3,11915.0,12409.9,33.09,137.537,152.277,3.36,275.464,C060110A2,25610.68,1285.47,145,0.7206292,21,1.383693,85.94187,454.2577,7.451505,0.5686345,3.223149,16.66707,122.393,-33.03785,1,13,31,44,46,56,61,54,41,50,39,36,25,17,13,11,13,16,15,18,13,9,9,11,11,13,10,9,9,8,8,6,6,5,5,6,5,4,7,9,10,11,12,14,15,15,12,4.0,3.0,0.0,
NMO_36848,C060110A3,Markram,rat,Han Wistar,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","No Diameter, 3D, Angles",14.0,14.0,Male,Not reported,Not reported,young,neocortex,somatosensory,layer 5,principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,parasagittal,200.00,"Reported 10% in xy, 25% in z Corrected (no values given)",water or oil,60x,Neurolucida,2015-03-06,2016-03-04,1437.12,11,114,239,558.22,1475.99,239.31,0.69,20287.6,45442.3,10706.8,1013.44,1186.9,21.0,0.86,7615,0.47,1.63,78.53,63.02,1.04,1437.12,11.0,115.0,241.0,127.0,560.86,1475.84,234.67,23646.0,5348.87,5191.67,20309.0,46879.5,4509.87,18392.1,2538680.0,3243160.0,62895.0,20889.0,5004.0,8.43527,63.0188,20307.8,206.814,7618.0,156.2,199.532,54.4855,65.015,171.622,188.125,180.009,8952.03,7184.48,12521.3,14184.3,9898.96,9327.51,31.74,128.572,148.662,-5.39,226.811,C060110A3,20308.96,1186.897,115,0.7750937,22,1.385948,84.26956,425.7232,8.210744,0.4245429,2.545416,-35.49973,170.1395,-34.25866,1,12,32,43,46,50,47,35,34,25,20,18,18,17,17,11,10,8,8,7,7,6,5,8,4,3,4,5,5,5,6,6,7,7,7,7,8,8,8,9,10,12,13,15,16,16,13,10.0,3.0,0.0,
