NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,gstats 0,gstats 1,gstats 2,gstats 3,gstats 4,gstats 5,gstats 6,gstats 7,gstats 8,gstats 9,gstats 10,gstats 11,gstats 12,gstats 13,gstats 14,gstats 15,gstats 16,gstats 17,gstats 18,gstats 19,gstats 20,gstats 21,gstats 22,gstats 23,gstats 24,gstats 25,gstats 26,gstats 27,gstats 28,gstats 29,gstats 30,gstats 31,gstats 32,gstats 33,gstats 34,gstats 35,gstats 36,gstats 37,gstats 38,gstats 39,gstats 40,gstats 41,gstats 42,gstats 43,gstats 44,gstats 45,gstats 46,gstats 47,gstats 48,gstats 49,gstats 50,gstats 51,gstats 52,gstats 53,gstats 54,gstats 55,gstats 56,gstats 57,gstats 58,gstats 59,gstats 60,gstats 61,gstats 62,gstats 63,gstats 64,gstats 65
NMO_03561,10-1A-1,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,1080.72,8,21,50,268.78,517.78,145.62,0.9,4639.78,13753.2,4636.39,333.83,433.91,5.0,0.89,414,0.34,1.63,58.52,53.7,1.04,1080.72,8.0,22.0,52.0,31.0,376.2,341.67,145.62,1253.0,429.014,629.021,4658.32,14834.0,886.683,9649.46,61189.3,77441.4,883.0,588.0,341.0,2.13287,13.3065,4658.05,46.5527,417.0,23.9672,38.8244,8.26667,5.04,37.7877,36.2866,35.0415,1229.12,1127.73,2304.12,2737.34,1566.04,1685.48,10.91,64.4192,73.6815,0.64,35.4641,10-1A-1,4658.316,433.9193,22,0.8103298,6,1.117897,89.583,185.7109,2.603774,1.0211,2.863447,7.283549,-56.40748,65.68396,1,10,8,8,8,8,9,10,17,11,11,12,12,13,17,17,18,22,22,21,21,20,19,18,16,14,14,13,16,14,12,10,10,9,6,8,5,5,5,6,4,4,4,4,2,2,2,1.0,1.0,0.0,
NMO_03562,10-1A-10,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,1092.38,6,14,34,250.01,318.61,119.87,1.02,2621.1,9012.87,3593.53,191.45,302.99,4.0,0.91,238,0.39,1.07,54.67,55.64,1.03,1092.38,6.0,15.0,36.0,22.0,317.44,210.75,96.2,724.0,299.213,518.036,2639.74,10105.3,817.867,8687.88,22910.8,29418.4,463.0,306.0,218.0,3.43539,15.2534,2639.58,33.064,241.0,19.0,20.8768,6.5,8.04,19.6097,17.1062,15.0332,765.489,779.058,1531.33,1552.46,1054.07,1171.97,11.5,59.1484,73.5955,-1.41,16.5972,10-1A-10,2639.741,302.9974,15,0.8474176,5,1.100126,73.32614,122.0682,2.432432,1.252056,3.377903,-8.417427,-43.02805,-17.06651,1,8,8,6,6,6,7,9,11,13,15,15,15,16,17,17,17,17,16,16,15,14,14,14,14,14,14,14,13,12,12,11,11,11,10,9,9,9,9,8,7,6,6,6,6,6,6,2.0,1.0,0.0,
NMO_03563,10-1A-2,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,1327.09,7,37,81,318.23,566.4,131.1,0.66,6508.97,14116.5,3035.84,347.08,427.65,7.0,0.86,695,0.48,1.7,53.0,47.19,1.05,1327.09,7.0,38.0,83.0,46.0,560.35,338.0,133.32,2102.0,522.928,673.817,6529.52,15443.6,946.002,9855.76,104485.0,135759.0,2141.0,1098.0,525.0,2.99127,14.9671,6529.13,72.082,698.0,38.9836,68.1506,19.046,8.07,67.2027,65.0763,63.3122,1961.17,1746.05,3764.72,4903.25,3315.38,3466.56,9.14,71.572,81.535,3.53,58.1129,10-1A-2,6529.521,427.6564,38,0.769208,8,0.9834346,78.66892,194.4974,3.678571,1.622102,4.446044,57.46865,-31.16387,2.916175,1,9,7,7,11,10,13,15,17,19,22,24,24,23,23,27,27,26,27,30,28,26,26,23,22,20,19,19,18,16,15,14,15,12,11,12,9,9,6,5,5,5,5,4,3,2,2,1.0,1.0,0.0,
NMO_03564,10-1A-3,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,1036.76,7,34,75,267.66,446.41,126.03,0.7,4720.22,10882.4,2650.41,348.56,400.68,6.0,0.85,480,0.49,1.65,59.72,53.99,1.06,1036.76,7.0,35.0,77.0,43.0,443.14,267.34,118.84,1455.0,394.837,539.445,4738.38,11919.1,754.479,7360.52,55724.6,68516.7,1344.0,806.0,363.0,3.10929,16.145,4738.0,65.7864,483.0,39.918,61.451,17.8061,6.755,60.7549,58.2072,56.3799,2030.69,1835.72,3037.98,4439.34,3021.86,3394.97,7.32,65.5748,75.251,-2.76,50.1546,10-1A-3,4738.381,400.6849,35,0.8076963,7,1.102396,61.53742,141.8564,3.474359,1.605455,4.195724,20.28052,-44.89679,33.06735,1,9,7,7,10,11,12,16,19,24,24,33,31,29,27,30,27,27,20,18,16,16,15,13,11,11,9,9,9,7,6,5,4,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,
NMO_03565,10-1A-4,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,1192.9,6,32,70,310.02,404.14,128.32,0.66,4936.22,10497.7,2144.77,287.14,365.08,5.0,0.83,540,0.3,1.77,60.29,51.52,1.07,1192.9,6.0,33.0,72.0,40.0,396.8,302.49,111.98,1634.0,416.777,565.148,4955.71,11690.6,817.754,7957.89,62914.7,79384.7,1530.0,819.0,425.0,3.03868,11.578,4955.35,60.5298,543.0,35.9508,60.98,10.7381,4.04,60.3131,58.9374,57.7956,1929.52,1648.95,2744.29,4084.09,2583.36,2531.15,9.15,63.9748,73.111,-0.7,56.8444,10-1A-4,4955.708,365.0843,33,0.8004485,6,1.115699,68.82927,146.1965,3.39726,1.349309,3.734258,14.56088,-48.67517,-13.07024,1,8,6,6,7,9,12,14,15,21,20,27,28,27,30,27,29,31,30,30,28,25,20,19,18,17,17,14,12,12,10,8,8,7,7,7,6,5,5,4,4,4,4,4,4,3,2,1.0,1.0,0.0,
NMO_03566,10-1A-5,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,842.0,7,22,51,217.3,423.87,116.15,0.68,4820.1,10632.5,2363.14,284.92,392.52,4.0,0.81,482,0.31,1.65,62.95,54.91,1.06,842.008,7.0,23.0,53.0,31.0,422.23,242.56,112.87,1462.0,381.048,492.344,4836.47,11474.5,641.944,5809.6,65679.8,83570.8,987.0,738.0,389.0,2.53576,13.3592,4836.24,43.7484,485.0,25.9508,40.7437,7.83333,3.535,40.345,38.4746,37.4144,1385.08,1208.05,2314.57,2814.18,2062.71,1995.91,7.31,54.6552,61.9265,1.62,42.7726,10-1A-5,4836.47,392.524,23,0.7967387,5,1.187644,91.25416,172.3108,2.685185,1.472557,3.862134,8.636309,-55.85146,17.71429,1,9,7,7,7,8,9,10,13,16,18,16,18,21,21,20,18,17,17,18,19,20,19,19,19,18,17,18,17,17,18,17,15,15,15,14,14,12,11,9,8,4,3,3,3,2,1,1.0,1.0,0.0,
NMO_03567,10-1A-6,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,919.2,7,24,55,288.88,401.33,106.88,0.69,4328.21,10069.2,2662.75,273.81,364.36,6.0,0.81,419,0.41,1.53,73.43,66.0,1.07,919.203,7.0,25.0,57.0,33.0,408.9,319.34,112.68,1271.0,342.492,476.846,4345.31,10988.4,669.323,6594.77,45816.9,62968.2,1084.0,614.0,336.0,4.77417,15.4287,4345.03,46.8774,422.0,26.9672,41.6069,11.0167,5.24,42.1371,38.745,37.4738,1762.36,1584.08,2301.29,2640.82,1747.43,1835.07,6.71,56.1512,65.6015,-0.35,39.7019,10-1A-6,4345.31,364.3601,25,0.7303222,7,1.35602,76.23351,149.2136,3.12069,1.135645,3.814084,-5.517915,-29.18344,17.30045,1,9,8,8,8,9,12,15,17,17,20,18,18,25,23,26,24,24,22,18,19,16,14,14,14,15,13,12,13,10,9,9,9,9,9,8,7,6,5,5,4,3,2,2,2,2,2,2.0,1.0,0.0,
NMO_03568,10-1A-7,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,991.41,6,27,60,204.54,331.91,121.08,0.87,3808.86,10658.6,3219.64,217.0,250.04,4.0,0.88,365,0.26,1.45,57.48,57.73,1.06,991.413,6.0,28.0,62.0,35.0,205.02,326.72,139.67,1104.0,371.006,551.73,3826.61,11650.0,783.618,7625.29,38197.4,48047.4,1040.0,590.0,285.0,3.31799,17.1851,3826.3,54.7255,368.0,32.9508,45.4475,8.13333,9.06,44.0755,41.1976,38.8122,1551.93,1558.69,2638.69,3415.93,2148.52,2115.48,13.95,66.5304,85.7907,0.65,43.4121,10-1A-7,3826.611,250.0385,28,0.7957729,5,1.079568,61.71953,130.5635,3.238095,0.7320073,1.634542,-29.26652,34.24247,-13.65707,1,8,6,6,6,8,10,14,14,17,19,19,20,19,21,21,20,24,24,24,22,22,22,20,18,18,18,18,18,17,18,16,14,14,14,13,13,12,11,11,9,7,6,6,4,2,2,2.0,1.0,0.0,
NMO_03569,10-1A-8,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,1507.43,7,40,87,312.21,458.35,112.79,0.75,7048.92,17362.5,4630.85,315.51,447.61,5.0,0.86,648,0.48,1.36,63.42,57.06,1.05,1507.43,7.0,41.0,89.0,49.0,466.16,312.61,108.63,1953.0,556.06,772.289,7070.82,18869.9,1132.14,12887.8,92728.1,115562.0,1863.0,1069.0,493.0,5.26874,25.8673,7070.41,77.3836,651.0,46.918,63.1883,20.2823,16.805,61.8149,56.6758,52.6714,2536.83,2282.45,3900.49,5323.68,3147.66,2993.14,12.14,78.53,93.665,0.28,64.2628,10-1A-8,7070.825,447.6156,41,0.8185003,6,1.156525,79.44747,177.5153,3.455556,1.347175,4.647589,-40.9171,-47.22998,9.647419,1,9,7,7,9,13,14,16,19,21,27,25,28,27,27,27,26,27,28,27,28,29,30,30,26,26,25,22,21,22,20,20,19,19,19,19,16,15,12,11,8,7,6,4,3,2,1,1.0,1.0,0.0,
NMO_03570,10-1A-9,Jacobs,human,Not reported,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",12410.0,12410.0,Female,88000 grams,88000 grams,not reported,neocortex,precentral gyri,Brodmann area 4,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,Golgi,custom,120.00,Not reported,dry,40x,Neurolucida,2008-05-16,2008-07-15,1775.79,6,31,68,232.4,453.96,109.17,0.85,4712.66,13527.6,4740.84,274.38,316.15,6.0,0.87,440,0.56,1.4,60.95,52.4,1.05,1775.79,6.0,32.0,70.0,39.0,441.32,239.81,104.53,1329.0,449.26,742.358,4736.43,15303.4,1251.07,15297.9,54640.9,69597.7,1335.0,692.0,353.0,4.75536,20.0285,4736.05,61.5166,443.0,41.8852,50.0228,18.5619,12.07,48.7414,45.6059,43.5729,1889.51,1624.52,3127.9,3849.11,2875.81,2888.28,9.1,80.37,96.455,1.68,43.3175,10-1A-9,4736.434,316.1545,32,0.8028299,7,1.12874,67.66334,157.1054,3.43662,1.806746,4.486783,3.051716,-53.54533,-23.4426,1,8,8,6,7,8,11,12,15,19,19,23,21,23,28,24,26,26,24,24,23,22,21,19,19,16,15,14,15,15,15,15,15,14,14,13,12,10,5,5,5,5,5,5,5,4,2,1.0,1.0,0.0,
