NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,gstats 0,gstats 1,gstats 2,gstats 3,gstats 4,gstats 5,gstats 6,gstats 7,gstats 8,gstats 9,gstats 10,gstats 11,gstats 12,gstats 13,gstats 14,gstats 15,gstats 16,gstats 17,gstats 18,gstats 19,gstats 20,gstats 21,gstats 22,gstats 23,gstats 24,gstats 25,gstats 26,gstats 27,gstats 28,gstats 29,gstats 30,gstats 31,gstats 32,gstats 33,gstats 34,gstats 35,gstats 36,gstats 37,gstats 38,gstats 39,gstats 40,gstats 41,gstats 42,gstats 43,gstats 44,gstats 45,gstats 46,gstats 47,gstats 48,gstats 49,gstats 50,gstats 51,gstats 52,gstats 53,gstats 54,gstats 55,gstats 56,gstats 57,gstats 58,gstats 59,gstats 60,gstats 61,gstats 62,gstats 63,gstats 64,gstats 65
NMO_02198,010920-slice2-cellB,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Moderate, Axon Incomplete","Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,somatosensory,Not reported,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,107.8,4,24,52,101.82,284.79,213.5,0.19,1727.25,989.86,69.53,319.75,526.68,8.0,0.82,854,0.51,1.65,70.03,73.12,1.04,107.807,4.0,25.0,54.0,30.0,120.4,284.97,213.5,3165.0,183.035,126.377,1733.11,1097.67,91.4526,227.424,86261.9,123967.0,3197.0,2559.0,518.0,1.65307,11.087,1732.84,44.9752,857.0,34.3463,43.8384,13.4254,4.345,42.2389,41.8219,40.7957,1680.84,1754.89,2501.23,2804.74,1973.56,1896.93,1.4406,15.9174,18.9667,-2.23,42.9062,010920-slice2-cellB,1727.253,526.6886,25,0.6998198,9,1.223116,33.21641,144.9838,4.679245,0.4429352,0.5204444,-1.754789,79.11543,19.8931,1,4,5,8,12,12,8,12,4,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,7,6,5,4,2,1,1,1,1,1,1,2,2,2,2.0,2.0,0.0,
NMO_02200,020227-slice1,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Neuropeptide Y (NPY)-positive,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,796.96,4,122,248,262.73,230.32,26.0,0.37,5799.92,6871.69,1008.42,219.08,605.86,23.0,0.86,2210,0.62,1.81,76.44,72.78,1.06,796.97,4.0,123.0,250.0,128.0,264.96,243.39,26.0,5391.0,872.662,776.403,5815.85,7668.66,778.133,4181.84,177137.0,458677.0,16450.0,11104.0,1061.0,4.46049,23.0175,5814.59,217.668,2213.0,147.72,228.172,77.3215,22.61,224.29,223.92,222.401,9326.06,8879.64,12820.3,13250.3,9586.35,9042.94,10.83,72.2249,76.9699,2.12,177.196,020227-slice1,5799.92,605.869,123,0.5078421,24,1.344853,23.38677,207.445,8.907631,0.9686678,5.79301,-18.05042,-47.67479,1.349208,1,4,4,9,10,15,23,33,26,37,32,40,37,40,38,37,36,31,32,29,28,38,36,26,18,19,19,28,17,15,11,9,11,10,11,7,6,7,9,4,5,4,4,4,3,2,2,2.0,2.0,0.0,
NMO_02201,020227-slice2,Yuste,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Moderate,"Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Neuropeptide Y (NPY)-positive,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,978.55,7,35,77,216.07,543.25,21.99,0.53,3098.96,5255.14,857.32,333.73,358.49,6.0,0.86,1108,0.47,1.72,61.8,58.42,1.04,978.553,7.0,36.0,79.0,44.0,185.1,545.55,22.0,3327.0,642.807,685.143,3116.61,6233.7,794.041,5174.91,129538.0,154185.0,3184.0,2599.0,582.0,4.1133,16.8461,3116.2,68.7508,1111.0,45.1113,64.9964,17.4989,6.63,62.9352,62.4443,61.0228,2163.02,2044.91,4255.76,4549.12,3469.76,3476.69,6.01,55.2678,73.0466,-0.94,66.1277,020227-slice2,3098.962,358.4907,36,0.8184148,7,1.06694,40.24626,139.0148,4.115385,0.3987274,8.889259,-3.371049,17.30967,2.903398,1,7,10,15,15,13,18,13,13,13,11,12,12,10,11,10,10,9,8,9,8,7,9,6,7,7,7,7,7,8,10,8,5,7,5,5,5,4,4,3,3,4,3,4,3,3,2,2.0,1.0,0.0,
NMO_02202,020227-slice4,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Moderate, Axon Incomplete","Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Neuropeptide Y (NPY)-positive,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,678.66,6,23,52,194.63,252.18,56.0,0.55,2487.5,4480.54,852.83,180.24,311.51,6.0,0.78,922,0.37,1.62,80.39,73.47,1.09,678.665,6.0,24.0,54.0,31.0,227.08,207.89,56.0,2709.0,554.273,589.761,2502.2,5159.2,632.232,3346.56,68502.2,112321.0,2165.0,1755.0,492.0,3.84436,16.9757,2501.91,42.8382,925.0,32.4167,41.7574,9.6,7.225,39.3285,39.3514,37.9972,1849.03,1689.98,2133.61,2585.53,1875.84,1604.97,6.11,44.4956,46.2756,1.56,50.1723,020227-slice4,2487.497,311.5103,24,0.6812174,7,1.419057,47.83649,121.6754,3.169811,1.296189,4.717073,-1.559471,27.19964,16.56663,1,6,6,6,7,14,13,10,11,11,14,15,16,13,17,14,21,15,14,13,13,18,25,22,15,15,14,8,7,7,7,6,6,6,6,5,6,3,5,6,2,2,2,2,2,2,2,2.0,1.0,0.0,
NMO_02203,020801-1-ST,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon",Dendrites & Axon Complete,"Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Somatostatin (SOM) containing cell,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,612.8,4,366,736,545.8,676.76,281.0,0.28,25538.7,22406.5,1938.8,630.99,1441.29,39.0,0.84,6576,0.61,1.95,78.35,79.53,1.07,612.805,4.0,367.0,738.0,372.0,495.11,708.12,279.5,13924.0,1923.29,1235.58,25552.7,23019.3,831.29,4078.48,1767570.0,3683150.0,109624.0,61523.0,2992.0,2.35829,18.8737,25548.9,626.764,6579.0,389.676,719.786,227.051,17.74,715.462,715.869,714.292,28677.7,29108.8,37260.6,37640.3,31564.0,31420.4,26.26,125.703,127.773,-0.31,511.28,020801-1-ST,25538.69,1441.291,367,0.5148277,40,1.368993,34.6993,560.0025,19.73134,1.033925,1.828617,9.731619,187.6316,41.49143,1,8,17,21,31,39,35,40,33,30,42,34,32,22,24,31,25,18,22,25,35,22,25,30,31,30,32,31,47,53,45,49,37,43,44,35,23,10,5,18,8,8,6,3,2,2,2,2.0,2.0,0.0,
NMO_02204,020801-3-ST,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Somatostatin (SOM) containing cell,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,726.8,5,260,525,723.97,1073.23,76.0,0.28,16543.0,14934.2,1361.01,912.44,1551.17,26.0,0.85,4508,0.64,1.92,84.36,79.84,1.07,726.802,5.0,261.0,527.0,267.0,709.0,936.88,76.0,9657.0,1341.37,924.967,16558.2,15661.0,731.272,4124.7,1665330.0,2328360.0,52868.0,33650.0,1894.0,2.54815,20.7584,16555.5,450.216,4511.0,283.219,507.591,167.427,12.515,503.783,503.458,501.665,21935.9,20759.9,27033.6,27421.7,22689.6,22776.1,17.34,99.0103,107.595,4.16,341.08,020801-3-ST,16542.98,1551.174,261,0.6805223,27,1.473117,31.51044,516.3767,13.95627,1.182142,8.730728,29.80901,304.1503,11.85826,1,9,29,24,48,51,28,21,14,13,13,8,5,5,6,6,5,6,7,5,3,3,3,3,4,4,5,6,9,8,10,14,28,34,25,19,33,16,12,5,4,1,1,1,1,1,1,1.0,1.0,0.0,
NMO_02205,030123-1,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Moderate, Axon Incomplete","Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Not reported,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,625.28,9,58,125,298.06,1313.78,39.0,0.34,5440.26,6470.12,1028.58,789.39,845.36,14.0,0.85,2257,0.56,1.65,82.02,66.96,1.05,625.289,9.0,59.0,127.0,69.0,292.4,1499.3,39.0,7043.0,819.804,685.973,5454.37,7095.41,636.799,3233.98,391997.0,444314.0,6607.0,5754.0,1227.0,6.10676,30.1341,5453.79,108.691,2260.0,81.4573,103.15,33.8996,7.26,102.13,98.0007,95.5681,4757.4,3883.85,5998.09,6933.87,3986.63,3884.97,4.81,47.756,57.155,1.43,95.9112,030123-1,5440.259,845.3623,59,0.8332629,15,1.425945,43.52208,196.7668,4.896825,0.2594788,5.382432,-15.65136,4.567163,2.665158,1,11,23,27,26,23,16,13,11,9,9,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,2.0,1.0,0.0,
NMO_02206,030124-1,Yuste,mouse,somatostatin-GFP,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Somatostatin (SOM) containing cell,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,1042.53,10,181,372,229.95,294.05,40.5,0.33,8779.92,9351.23,1252.72,204.21,380.64,12.0,0.88,3566,0.52,1.79,85.65,76.27,1.05,1042.53,10.0,182.0,374.0,193.0,263.16,279.01,40.5,8239.0,1233.91,996.933,8798.14,10393.8,959.694,6000.56,285985.0,647528.0,21224.0,17587.0,1606.0,10.0726,41.5008,8796.27,330.541,3569.0,219.223,336.313,96.4446,18.065,330.538,327.514,321.884,15502.7,13805.4,18170.4,19928.9,16271.1,15372.8,17.14,91.3933,114.69,5.37,253.354,030124-1,8779.922,380.6434,182,0.4873963,13,1.48911,23.60194,181.5278,7.560322,1.144075,5.036138,-6.565404,-1.0177,6.609712,1,10,10,11,21,26,28,42,38,36,44,46,40,58,59,62,65,67,56,55,56,47,47,43,46,41,35,30,26,25,25,19,24,20,21,18,15,10,9,5,5,4,4,3,3,3,3,3.0,3.0,0.0,
NMO_02207,030124-4,Yuste,mouse,somatostatin-GFP,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,occipital,Not reported,interneuron,Somatostatin (SOM) containing cell,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,615.92,6,161,328,403.07,481.34,130.0,0.3,12850.3,12030.4,1228.06,434.18,796.32,15.0,0.82,5333,0.57,1.88,89.83,85.61,1.06,615.928,6.0,162.0,330.0,169.0,639.2,302.9,130.0,13216.0,1658.77,1126.95,12864.3,12646.3,809.378,3384.12,691811.0,1335250.0,29606.0,21767.0,2562.0,4.51588,25.3615,12862.7,272.288,5336.0,180.166,309.407,94.132,11.095,307.209,304.817,301.873,14463.1,13783.4,15133.8,16179.0,14362.2,14842.3,11.8082,71.3452,73.0798,13.57,281.23,030124-4,12850.32,796.325,162,0.5267491,16,1.560099,39.17782,250.3253,7.203647,1.9413,3.641975,-3.498973,-19.22698,13.82926,1,6,13,24,25,42,35,46,40,42,42,48,54,43,46,51,44,36,33,36,34,28,26,16,12,12,12,11,11,11,11,5,4,6,5,5,7,3,2,2,2,2,3,1,1,1,1,1.0,1.0,0.0,
NMO_02208,030128-3,Yuste,mouse,somatostatin-GFP,"Dendrites, Soma, Axon","Dendrites Complete, Axon Moderate","Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,Not reported,Not reported,interneuron,Martinotti,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,332.93,4,75,154,327.11,641.39,156.5,0.32,12028.7,12394.6,1449.23,544.42,1537.31,14.0,0.71,5930,0.5,1.77,85.99,75.66,1.09,332.938,4.0,76.0,156.0,81.0,667.05,423.13,156.5,15249.0,1962.4,1294.9,12039.0,12727.5,790.918,2306.09,1128830.0,2982570.0,30743.0,16874.0,3148.0,1.09732,23.3365,12038.2,112.869,5933.0,88.2164,139.412,38.8778,18.485,133.619,135.169,132.691,6449.77,5674.63,6240.6,7727.55,7358.88,6846.19,7.75,43.7691,45.5041,13.2,160.067,030128-3,12028.74,1537.314,76,0.4629226,15,1.482664,78.1087,502.876,6.206452,1.603834,2.951115,98.24306,13.2836,69.48752,1,4,4,4,6,6,28,32,29,31,30,36,27,29,19,20,15,18,15,21,15,15,14,15,13,14,17,14,12,12,11,7,8,8,8,8,7,5,5,4,4,4,3,3,3,3,5,3.0,2.0,0.0,
