NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,gstats 0,gstats 1,gstats 2,gstats 3,gstats 4,gstats 5,gstats 6,gstats 7,gstats 8,gstats 9,gstats 10,gstats 11,gstats 12,gstats 13,gstats 14,gstats 15,gstats 16,gstats 17,gstats 18,gstats 19,gstats 20,gstats 21,gstats 22,gstats 23,gstats 24,gstats 25,gstats 26,gstats 27,gstats 28,gstats 29,gstats 30,gstats 31,gstats 32,gstats 33,gstats 34,gstats 35,gstats 36,gstats 37,gstats 38,gstats 39,gstats 40,gstats 41,gstats 42,gstats 43,gstats 44,gstats 45,gstats 46,gstats 47,gstats 48,gstats 49,gstats 50,gstats 51,gstats 52,gstats 53,gstats 54,gstats 55,gstats 56,gstats 57,gstats 58,gstats 59,gstats 60,gstats 61,gstats 62,gstats 63,gstats 64,gstats 65
NMO_02198,010920-slice2-cellB,Yuste,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Moderate, Axon Incomplete","Diameter, 3D, Angles",13.0,17.0,Not reported,Not reported,Not reported,young,neocortex,somatosensory,Not reported,principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,water,60x,Neurolucida,2008-02-06,2008-07-15,107.8,4,24,52,101.82,284.79,213.5,0.19,1727.25,989.86,69.53,319.75,526.68,8.0,0.82,854,0.51,1.65,70.03,73.12,1.04,107.807,4.0,25.0,54.0,30.0,120.4,284.97,213.5,3165.0,183.035,126.377,1733.11,1097.67,91.4526,227.424,86261.9,123967.0,3197.0,2559.0,518.0,1.65307,11.087,1732.84,44.9752,857.0,34.3463,43.8384,13.4254,4.345,42.2389,41.8219,40.7957,1680.84,1754.89,2501.23,2804.74,1973.56,1896.93,1.4406,15.9174,18.9667,-2.23,42.9062,010920-slice2-cellB,1727.253,526.6886,25,0.6998198,9,1.223116,33.21641,144.9838,4.679245,0.4429352,0.5204444,-1.754789,79.11543,19.8931,1,4,5,8,12,12,8,12,4,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,7,6,5,4,2,1,1,1,1,1,1,2,2,2,2.0,2.0,0.0,
NMO_07859,060110-LII-III,Poorthuis,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",17.0,18.0,Not reported,Not reported,Not reported,young,neocortex,prefrontal,"medial, layer 2-3",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-02-21,2012-05-17,608.45,6,27,60,229.84,363.23,77.54,0.71,3745.36,8344.79,1539.04,242.87,402.26,7.0,0.78,7126,0.47,1.64,82.16,69.07,1.05,608.451,6.0,28.0,62.0,35.0,360.98,236.32,77.55,25436.0,5127.48,4516.76,3759.27,8953.25,3277.13,3656.98,738183.0,1047380.0,26295.0,12543.0,5394.0,3.90596,12.9444,3758.98,48.8308,7129.0,32.5161,49.4448,13.7,22.24,40.6313,46.3018,44.0296,2218.43,1864.92,2489.89,3180.61,1938.59,1800.57,7.06,50.237,58.9237,5.76,63.0016,060110-LII-III,3759.273,402.2691,28,0.7340467,8,1.495018,60.63344,146.9181,3.809524,1.444927,3.96046,60.20665,-9.753609,20.55685,1,8,6,10,9,11,11,15,17,20,17,16,20,16,13,14,12,11,11,10,8,8,8,9,9,10,11,10,13,14,13,15,13,14,10,9,9,9,11,11,9,9,8,8,7,7,4,7.0,3.0,0.0,
NMO_07860,060110-LV,Poorthuis,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"Diameter, 3D, Angles",17.0,18.0,Not reported,Not reported,Not reported,young,neocortex,prefrontal,"medial, layer 2-3",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-02-21,2012-05-17,1170.99,9,46,101,294.23,581.44,101.28,0.79,7373.18,19707.7,10141.0,491.12,725.65,21.0,0.8,15062,0.55,1.37,81.63,70.59,1.03,1170.99,9.0,47.0,103.0,57.0,578.27,287.43,101.23,55407.0,12047.8,11593.9,7392.49,20878.7,9768.87,15792.9,2847440.0,3621270.0,121863.0,30452.0,12210.0,8.18331,30.645,7391.95,83.7447,15065.0,77.6494,74.9512,26.4475,49.315,55.9006,65.4545,60.0564,3755.26,3247.49,4736.49,5552.27,4745.23,4094.62,14.99,115.026,134.944,-2.5,100.187,060110-LV,7373.183,725.6501,47,0.7745931,22,1.461347,73.00182,240.4073,8.04902,1.588955,4.737046,149.1492,-3.043789,27.31598,1,7,21,22,22,25,26,25,23,23,32,26,19,14,11,7,7,6,6,7,5,4,4,3,4,1,1,1,1,1,2,2,2,3,4,7,6,9,9,20,13,11,17,12,10,8,10,3.0,3.0,0.0,
NMO_09444,070309-exp2-zA,Krieger,mouse,C57BL6/Glt25d2,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","Diameter, 3D, Angles",17.0,17.0,Male/Female,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 5b",principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-09-25,2013-05-06,799.47,13,56,125,268.98,937.25,72.17,0.62,7423.0,15268.2,3514.03,782.78,938.01,16.0,0.77,6603,0.52,1.71,77.26,55.75,1.05,799.475,13.0,57.0,127.0,71.0,266.07,937.25,72.18,23287.0,4155.88,3736.22,7438.95,16067.7,2969.69,6702.96,1804140.0,2120840.0,39554.0,18015.0,4609.0,8.1576,45.4359,7438.31,99.4425,6606.0,100.344,101.308,30.554,26.42,110.147,98.0357,98.8856,4326.73,3122.1,5413.09,7341.79,4893.38,5862.26,12.72,73.4902,108.425,9.26,124.759,070309-exp2-zA,7438.951,938.0146,57,0.7839214,17,1.379952,59.03845,321.0472,6.867188,0.3514803,4.400179,-3.843899,223.5841,-17.59595,1,17,23,26,26,26,26,25,17,13,10,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,5,5,13,8,20,14,13,12.0,1.0,0.0,
NMO_09443,070309-exp2-zB,Krieger,mouse,C57BL6/Glt25d2,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","Diameter, 3D, Angles",17.0,17.0,Male/Female,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 5b",principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-09-25,2013-05-06,1193.05,11,79,169,610.8,2350.21,71.23,0.6,11989.5,25163.6,6480.86,1712.87,2124.5,16.0,0.81,9247,0.49,1.47,74.55,47.08,1.04,1193.05,11.0,80.0,171.0,92.0,699.63,2350.22,71.23,32560.0,5688.32,5381.83,12008.9,26356.6,4635.58,12294.7,4343500.0,5091140.0,69981.0,29189.0,6199.0,10.1192,71.1319,12008.0,138.895,9250.0,119.487,129.162,39.7129,73.005,108.657,118.649,111.66,5889.93,3719.52,8166.36,10455.9,6781.89,7301.89,12.93,81.8746,134.885,-1.5,169.583,070309-exp2-zB,12008.95,2124.499,80,0.8085443,17,1.324252,70.22776,550.3939,8.25,0.3334572,10.31114,-50.35845,241.2701,-26.88782,1,21,30,27,15,4,2,3,3,3,3,3,3,3,3,3,3,6,7,9,17,28,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,
NMO_09442,070310-exp1-zB,Krieger,mouse,C57BL6/Glt25d2,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","Diameter, 3D, Angles",18.0,18.0,Male/Female,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 5b",principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-09-25,2013-05-06,693.97,8,49,106,316.76,1090.56,69.84,0.45,6936.53,10570.3,1855.78,747.71,930.17,13.0,0.86,7456,0.37,1.46,85.76,77.89,1.01,693.98,8.0,50.0,108.0,59.0,284.39,1090.51,69.8,26561.0,3446.78,2700.49,6951.39,11264.2,1950.12,4434.82,1709420.0,2050370.0,41310.0,15863.0,5570.0,7.1672,38.0645,6950.86,93.7296,7459.0,76.3177,80.566,19.2475,29.655,70.3463,73.7038,69.3056,4202.45,3817.02,4976.23,5570.37,4591.51,4675.36,11.1,55.4305,73.6857,4.38,104.031,070310-exp1-zB,6951.393,930.1747,50,0.7809741,14,1.529762,64.36475,274.8857,5.926606,0.341082,5.244311,-6.541606,164.9484,-7.296656,1,16,28,31,26,27,26,20,13,10,6,4,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,5,6,2,3,3,3,5,8,3,6,1.0,2.0,0.0,
NMO_09473,070311-exp2-zA,Krieger,mouse,C57BL6/Etv1,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","Diameter, 3D, Angles",18.0,18.0,Male/Female,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 5a",principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-09-25,2013-05-06,991.57,10,57,124,262.63,862.17,45.53,0.55,7319.52,13810.6,2788.47,732.2,821.4,10.0,0.84,7849,0.38,1.42,81.14,53.89,1.01,991.572,10.0,58.0,126.0,69.0,272.67,862.14,45.54,26340.0,4419.7,3749.32,7337.29,14802.2,2881.78,7192.75,1621200.0,1875580.0,30307.0,17332.0,6031.0,7.85668,45.752,7336.65,106.716,7852.0,92.5355,92.0895,22.7423,48.135,74.6743,83.4311,77.6466,4625.18,3072.18,6043.06,7513.05,4821.47,4130.59,15.88,71.2137,86.4171,-1.76,122.307,070311-exp2-zA,7337.287,821.4072,58,0.8326988,11,1.445968,58.23244,238.867,4.787402,0.3909213,6.823223,-3.757741,121.1879,-5.264699,1,12,28,31,37,34,34,32,29,19,14,10,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,7,7,7,7,5.0,3.0,0.0,
NMO_09472,070311-exp2-zB,Krieger,mouse,C57BL6/Etv1,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","Diameter, 3D, Angles",18.0,18.0,Male/Female,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 5a",principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-09-25,2013-05-06,885.25,9,69,147,241.06,944.44,54.91,0.57,7741.49,15165.9,3300.88,783.02,888.08,13.0,0.85,8507,0.44,1.47,82.61,58.25,1.02,885.258,9.0,70.0,149.0,80.0,241.06,944.45,54.93,29773.0,4978.41,4250.61,7758.27,16051.1,3235.49,7017.07,1553030.0,1863710.0,42993.0,19376.0,6513.0,10.1539,48.8129,7757.55,127.322,8510.0,106.553,113.104,31.6545,49.235,94.0433,103.668,97.4887,5700.61,4019.47,7029.77,8929.73,6012.86,6488.92,17.58,78.5729,100.259,-1.41,139.909,070311-exp2-zB,7758.274,888.0842,70,0.7872416,14,1.466229,52.06896,219.0025,5.94,0.3105529,4.989979,10.97278,111.2137,-5.444226,1,11,35,47,45,43,34,25,17,9,6,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,8,15,7,4.0,1.0,0.0,
NMO_09471,070311-exp4-zA,Krieger,mouse,C57BL6/Etv1,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","Diameter, 3D, Angles",18.0,18.0,Male/Female,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 5a",principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-09-25,2013-05-06,833.19,12,63,138,229.89,848.93,63.8,0.44,6815.33,10067.0,1605.8,578.64,643.03,7.0,0.82,9094,0.41,1.62,83.41,64.32,1.02,833.193,12.0,64.0,140.0,77.0,241.85,847.89,63.8,27565.0,4117.04,3143.69,6831.61,10900.2,2208.47,4999.72,1060930.0,1280990.0,26773.0,16340.0,6502.0,8.89597,45.7071,6830.87,116.154,9097.0,86.2257,110.436,26.9,40.46,100.815,104.402,101.169,5255.43,4052.74,6522.08,7761.89,4812.02,4979.9,11.23,66.7971,94.0175,2.9,136.782,070311-exp4-zA,6831.61,643.0345,64,0.7823896,8,1.482285,48.79721,140.8151,3.858156,0.2756047,4.240754,-5.340297,15.54437,-5.27669,1,18,26,39,40,42,41,34,32,21,22,18,10,7,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,3,4,4,4,3,2,3,2,2,2,2.0,2.0,0.0,
NMO_09470,070311-exp4-zB,Krieger,mouse,C57BL6/Etv1,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","Diameter, 3D, Angles",18.0,18.0,Male/Female,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 5a",principal cell,pyramidal,Not reported,Neurolucida.asc,in vitro,Control,biocytin,coronal,300.00,Not reported,oil,100x,Neurolucida,2012-09-25,2013-05-06,794.01,8,75,158,234.38,1023.7,53.08,0.39,7983.01,10305.29,1388.07,606.2,683.7,10.0,0.84,11072,0.4,1.62,87.12,67.78,1.02,794.019,8.0,76.0,160.0,85.0,226.46,1023.7,53.09,34194.0,4462.63,3195.85,7998.91,11099.3,2103.27,4544.39,1325800.0,1801730.0,46309.0,20439.0,8452.0,10.8107,46.3022,7998.1,136.079,11075.0,104.016,130.717,31.6688,45.2,117.991,123.546,119.245,6534.65,5083.85,7103.09,9075.25,6301.85,6420.37,12.71,66.6209,70.3709,5.7,150.343,070311-exp4-zB,7998.91,683.7036,76,0.7351413,11,1.54201,49.99319,162.6844,4.757764,0.2676217,4.932127,1.756216,15.63741,-2.007644,1,12,38,46,56,55,42,34,26,17,8,9,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,4,5,5,6,5,4,4,3,2.0,1.0,0.0,
