,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim 
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro06.swc,2652.58,1.0,254.0,508.0,255.0,278.86,829.94,77.48,3894.0,2621.55,4609.67,7073.27,56776.4,7542.31,75758.2,502021.0,610522.0,27990.0,14007.0,737.0,39.808,115.662,7070.75,490.395,1331.0,622.406,395.667,163.884,140.07,349.944,370.842,356.191,16530.7,16214.1,29831.0,30385.4,23401.0,23668.1,91.068,322.198,462.376,-1.27,121.033
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro03.swc,1016.58,1.0,294.0,588.0,295.0,185.2,703.19,137.8,4651.0,2237.32,3215.25,5608.28,30942.3,4202.58,25261.9,465794.0,545304.0,37406.0,17588.0,934.0,47.4691,130.416,5605.35,565.344,1609.0,744.01,463.998,199.654,145.725,427.269,440.058,429.014,20470.5,20032.0,33835.6,34452.2,26543.2,26220.6,73.286,271.41,374.061,-0.26,153.873
/home/mdm/code/NeuroMiner/swcs/HSE-cobalt.swc,976.63,1.0,305.0,610.0,306.0,714.649,289.724,73.5,4606.0,4355.14,8694.4,6615.37,61255.6,15425.9,73411.4,378162.0,493001.0,27790.0,21118.0,701.0,99.9104,192.288,6611.28,579.69,1593.0,699.974,421.397,191.162,167.01,387.943,377.565,352.17,26599.0,24986.7,31021.9,32459.4,26385.5,26497.9,155.0,402.0,632.129,-8.18,119.679
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro01.swc,2216.61,1.0,301.0,602.0,302.0,271.18,784.04,154.98,5318.0,3319.24,5252.22,7101.45,50417.0,7437.4,50391.6,540427.0,661416.0,39550.0,18454.0,1034.0,48.9558,117.786,7098.52,580.308,1822.0,643.515,499.566,190.584,161.69,494.776,483.879,484.069,21559.3,20585.7,33842.8,34318.5,25514.2,25424.6,108.356,410.736,530.142,3.56,188.294
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro08.swc,1824.55,1.0,205.0,410.0,206.0,236.46,865.59,54.07,2520.0,1791.69,3449.61,6230.78,50968.4,6180.49,73865.8,269453.0,319309.0,18420.0,8504.0,433.0,29.1522,80.3246,6228.73,398.036,864.0,486.917,334.98,129.297,104.07,309.208,319.939,311.99,13334.2,13296.4,24466.4,24346.0,19418.7,19292.5,71.242,260.962,381.567,-1.6,56.0162
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro05.swc,2919.0,1.0,313.0,626.0,314.0,265.88,668.38,71.6,3505.0,2840.71,6000.98,7626.01,61828.3,12076.2,94380.7,327667.0,410410.0,32055.0,16494.0,617.0,69.3131,166.441,7622.84,613.881,1205.0,915.922,469.616,212.072,140.9,396.188,434.366,411.695,21085.5,20658.3,36878.6,36737.8,27923.7,27848.9,98.802,371.29,615.174,1.37,59.2301
/home/mdm/code/NeuroMiner/swcs/dCH-cobalt.swc,8693.74,1.0,2390.0,4780.0,2391.0,830.7,364.8,111.7,18262.0,9293.5,14032.1,26619.8,128964.0,19555.0,91751.7,4393470.0,6659670.0,242845.0,424284.0,2779.0,433.624,987.298,26597.0,4599.87,6248.0,4756.95,3787.22,1384.65,724.255,3529.66,3549.75,3407.7,226500.0,220804.0,191687.0,199920.0,208166.0,207426.0,738.0,2023.0,2541.5,26.94,61.3179
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro07.swc,1338.1,1.0,233.0,466.0,234.0,249.3,694.69,123.58,3490.0,2161.8,3746.61,6804.77,49004.7,6059.72,62186.8,364924.0,425480.0,22991.0,10038.0,649.0,38.1507,113.792,6802.49,445.431,1195.0,631.075,360.518,147.607,111.355,315.549,337.421,322.752,13931.2,13791.7,28001.5,27246.1,18526.5,18168.1,81.364,259.682,391.467,3.18,103.828
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro04.swc,921.876,1.0,262.0,524.0,263.0,260.49,831.21,65.25,4166.0,2657.15,4514.26,6485.45,53745.4,7384.36,84060.2,474982.0,555111.0,28939.0,11285.0,801.0,43.6177,119.194,6482.79,505.798,1430.0,621.177,414.358,166.097,117.175,370.742,390.385,376.876,19417.6,19129.9,29267.8,29324.0,24018.0,24073.8,88.256,303.7,442.265,-1.12,130.94
/home/mdm/code/NeuroMiner/swcs/HSE-fluoro02.swc,2015.29,1.0,171.0,342.0,172.0,270.14,915.69,102.34,1986.0,1786.64,3582.77,5685.5,49736.9,6356.16,58456.6,235422.0,277832.0,11082.0,6413.0,343.0,23.8833,85.177,5683.7,332.131,699.0,387.94,265.462,117.483,41.88,229.651,247.809,237.117,11357.8,11198.2,19442.4,19667.0,14517.9,14187.3,58.22,241.098,354.036,-5.67,36.7339
