NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,gstats 0,gstats 1,gstats 2,gstats 3,gstats 4,gstats 5,gstats 6,gstats 7,gstats 8,gstats 9,gstats 10,gstats 11,gstats 12,gstats 13,gstats 14,gstats 15,gstats 16,gstats 17,gstats 18,gstats 19,gstats 20,gstats 21,gstats 22,gstats 23,gstats 24,gstats 25,gstats 26,gstats 27,gstats 28,gstats 29,gstats 30,gstats 31,gstats 32,gstats 33,gstats 34,gstats 35,gstats 36,gstats 37,gstats 38,gstats 39,gstats 40,gstats 41,gstats 42,gstats 43,gstats 44,gstats 45,gstats 46,gstats 47,gstats 48,gstats 49,gstats 50,gstats 51,gstats 52,gstats 53,gstats 54,gstats 55,gstats 56,gstats 57,gstats 58,gstats 59,gstats 60,gstats 61,gstats 62,gstats 63,gstats 64,gstats 65
NMO_00945,010626DS1,Staiger,rat,Wistar,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,884.4,4,36,76,273.97,912.57,14.0,0.8,4595.45,12282.0,3549.42,781.9,860.36,8.0,0.84,1664,0.46,1.31,79.65,70.44,1.06,884.403,4.0,37.0,78.0,42.0,860.92,364.47,14.77,5909.0,1392.95,1534.41,4612.22,13166.4,1551.67,7260.99,303174.0,366932.0,7510.0,2910.0,1238.0,5.59584,34.1639,4611.83,66.4821,1667.0,51.0054,56.2325,17.9008,58.82,39.9072,49.1919,44.0929,2867.6,2535.88,4296.25,4188.26,1752.3,2060.71,14.06,68.3036,77.0886,-1.73,68.1226,010626DS1,4612.222,860.3623,37,0.7255601,9,1.437584,59.13105,220.1153,4.708861,2.166037,44.82957,-126.8635,10.99635,-5.338128,1,8,12,24,22,22,22,14,12,8,6,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4.0,3.0,0.0,
NMO_00946,030213DS2,Staiger,rat,Wistar,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,865.4,6,52,110,701.04,834.38,263.73,0.45,12978.9,16141.1,3056.25,727.93,1120.31,9.0,0.83,4032,0.52,1.59,70.59,64.85,1.04,865.406,6.0,53.0,112.0,60.0,755.46,739.92,259.45,10488.0,1874.25,1706.37,12995.5,17006.6,1549.69,6648.65,874466.0,1407890.0,18984.0,8581.0,2622.0,4.27313,30.8852,12994.9,93.8532,4035.0,76.2275,90.6482,28.2029,25.11,80.0858,84.8087,81.1168,3671.16,3372.61,5684.51,6115.16,4553.66,4574.56,8.51,59.3388,67.6038,4.95,104.488,030213DS2,12995.47,1120.313,53,0.6620122,10,1.268214,116.031,348.9185,5.044248,0.9243166,3.338987,-103.0326,59.98174,-57.53357,1,7,14,26,25,32,34,32,26,24,19,16,15,14,16,14,17,13,13,13,12,11,10,9,9,10,10,9,9,8,9,9,9,9,10,10,10,8,8,8,9,8,7,5,4,2,2,2.0,1.0,0.0,
NMO_00947,030213DS3,Staiger,rat,Wistar,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,1208.88,6,47,100,256.49,858.48,35.58,0.76,6287.0,16124.7,4649.18,723.36,916.55,12.0,0.81,2174,0.49,1.46,65.68,47.11,1.06,1208.88,6.0,48.0,102.0,55.0,808.67,512.02,35.6,7467.0,1730.31,1899.68,6306.61,17333.6,1980.91,10579.5,541200.0,650542.0,10310.0,5353.0,1602.0,7.45378,39.0631,6306.14,83.9651,2177.0,61.8786,78.4614,24.2109,71.96,59.5263,71.0385,65.6951,3087.12,2214.25,5544.07,6115.62,4622.48,4500.83,16.11,80.3352,87.9802,2.34,95.2125,030213DS3,6306.605,916.5528,48,0.8141767,13,1.187958,61.82946,298.8251,5.048544,1.468267,22.61266,-144.9511,60.38841,-10.16295,1,12,12,21,24,26,26,28,26,17,14,13,6,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,6,6,10,9,9,7.0,6.0,0.0,
NMO_00948,030213DS5,Staiger,rat,Wistar,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,1521.14,4,60,124,324.68,908.96,27.26,0.69,8284.14,19389.09,5681.36,805.8,940.08,14.0,0.82,3118,0.55,1.3,68.5,64.68,1.07,1521.14,4.0,61.0,126.0,66.0,890.51,367.19,27.27,10802.0,2230.96,2388.26,8306.14,20910.2,2519.24,14051.0,581471.0,745824.0,17547.0,6330.0,2523.0,6.4548,50.9171,8305.52,103.798,3121.0,93.9007,91.171,34.1677,78.195,67.7324,80.3404,72.3357,4110.39,3880.99,6796.08,7008.59,4471.1,5089.51,16.77,87.1976,101.918,-2.91,108.712,030213DS5,8306.144,940.0864,61,0.7303986,15,1.227564,65.92178,238.9695,5.889764,2.068029,30.56554,-110.9247,23.22971,-13.19233,1,8,23,44,38,40,37,39,24,13,9,6,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,5,7,7,5.0,2.0,0.0,
NMO_00949,030220DS1,Staiger,rat,Wistar,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,921.19,7,25,57,186.01,957.85,15.15,0.73,4004.92,10047.7,2728.42,879.22,1000.75,15.0,0.81,2199,0.7,1.49,76.35,62.81,1.06,921.197,7.0,26.0,59.0,34.0,949.4,235.88,15.15,7720.0,1665.06,1704.76,4022.04,10968.9,1626.99,6672.92,541601.0,619508.0,10905.0,4846.0,1677.0,4.02855,23.7695,4021.74,48.6224,2202.0,43.4946,42.7215,18.5325,3.645,42.2686,39.3126,37.7025,1908.9,1570.44,2449.0,3124.97,1698.55,2004.17,5.58,56.5954,79.6981,0.8,56.45,030220DS1,4022.041,1000.748,26,0.841752,16,1.402239,68.17019,281.3388,5.983333,3.568896,54.47965,194.2152,35.90946,-6.265036,1,12,16,13,13,19,15,8,7,5,4,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,3,2,2,3,5,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3.0,2.0,0.0,
NMO_00950,030313DS2,Staiger,rat,Wistar,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,1273.66,5,51,107,327.69,1039.33,43.17,0.88,8099.58,24429.9,8138.18,965.75,1232.74,15.0,0.79,4055,0.48,1.41,83.36,64.55,1.07,1273.66,5.0,52.0,109.0,58.0,1057.7,432.7,43.18,14729.0,3638.4,3997.8,8119.71,25703.6,3948.91,14551.0,1403840.0,1763000.0,29440.0,9575.0,2933.0,6.20242,44.1505,8119.12,87.0656,4058.0,83.3907,82.253,25.5155,46.855,65.811,74.3462,69.1088,4251.75,3292.54,5171.07,6026.47,4047.25,4340.87,22.94,92.18,105.91,-4.11,94.4434,030313DS2,8119.709,1232.741,52,0.7287459,16,1.487472,74.49274,434.4492,6.790909,1.942153,23.28793,282.7877,78.84754,-11.84234,1,15,20,26,32,34,18,14,9,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,5,6,9,15,18,11,6.0,1.0,0.0,
NMO_00951,030319DS1,Staiger,rat,Wistar,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,1263.6,6,58,122,1165.36,1423.65,36.35,0.65,12396.2,22791.5,6475.38,911.01,1222.56,11.0,0.88,3403,0.49,1.48,69.39,66.59,1.03,1263.61,6.0,59.0,124.0,66.0,1365.23,874.84,36.36,9614.0,2275.52,2495.56,12416.3,24055.1,2611.99,12812.6,834251.0,1130190.0,16544.0,6668.0,2474.0,6.22844,39.9317,12415.7,109.524,3406.0,104.888,95.3505,29.7083,51.45,78.8654,88.0029,83.1989,4025.11,3862.52,6938.46,6706.1,4510.96,4698.17,20.08,82.9516,96.2916,-3.64,112.07,030319DS1,12416.28,1222.562,59,0.7613827,12,1.243948,100.1313,331.823,5.376,1.420705,38.06252,-18.51432,-7.021007,-9.538717,1,16,23,26,34,34,34,28,22,22,16,12,11,11,10,10,11,11,8,7,6,6,9,7,8,8,8,7,7,8,7,6,6,6,8,8,9,10,7,4,4,3,3,3,2,1,1,1.0,1.0,0.0,
NMO_00952,030321DS1,Staiger,rat,Wistar,"Dendrites, Soma, No Axon",Dendrites Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,1363.86,8,55,118,286.75,1006.62,29.89,0.78,7579.47,21010.9,12956.5,932.0,1086.09,17.0,0.78,4524,0.51,1.6,85.66,58.32,1.07,1364.55,8.0,55.0,118.0,64.0,294.62,1006.62,29.91,15510.0,3531.21,3662.34,7579.47,21010.9,3498.04,12956.5,1070900.0,1290760.0,23582.0,11008.0,3416.0,8.82385,46.8848,7578.91,92.1046,4524.0,83.023,93.6346,27.8674,17.735,87.7251,88.251,85.157,4625.84,3149.05,5017.64,6438.88,5033.93,4933.29,15.09,88.0176,106.287,-1.5,111.327,030321DS1,7579.465,1086.086,55,0.760084,18,1.525048,64.23276,285.3137,5.932773,0.3333705,10.52069,5.428342,166.2423,-6.53271,1,18,30,31,33,29,37,25,17,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,5,3,3,8,5,4.0,2.0,0.0,
NMO_00953,030324DS1,Staiger,rat,Wistar,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,1276.49,6,70,146,802.55,1037.28,44.3,0.52,12288.4,20782.1,11050.4,991.9,1365.25,12.0,0.79,5423,0.48,1.47,76.87,62.04,1.08,1277.14,6.0,70.0,146.0,77.0,906.56,1037.28,44.31,15896.0,2843.61,2657.31,12288.4,20782.1,2467.1,11050.4,1253960.0,1808670.0,25990.0,12106.0,3730.0,5.41357,45.2913,12287.6,115.608,5423.0,103.085,112.802,33.3247,66.78,92.0819,102.909,95.9465,5303.99,4280.56,7483.34,8378.47,5562.25,5599.38,15.53,78.7928,96.046,10.99,140.226,030324DS1,12288.37,1365.247,70,0.6638659,13,1.367338,84.16694,333.5189,5.265306,0.8922785,19.92767,-32.43606,115.8722,-12.84784,1,11,29,58,51,42,39,21,15,10,8,8,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,6,6,6,7,4,1.0,1.0,0.0,
NMO_00954,030324DS4,Staiger,rat,Wistar,"Dendrites, Soma, Axon",Dendrites & Axon Moderate,"No Diameter, 3D, Angles",20.0,23.0,Male,Not reported,Not reported,young,neocortex,somatosensory,"barrel, layer 4",principal cell,pyramidal,Not reported,Neurolucida.dat,in vitro,Control,biocytin,coronal,300.0,Reported (no values given) Not corrected,water,40x,Neurolucida,2006-06-06,2006-09-02,1772.74,6,100,206,1586.24,1052.11,41.26,0.57,17511.0,32869.8,17873.1,1107.51,1790.17,13.0,0.8,8059,0.49,1.62,80.45,64.92,1.07,1773.64,6.0,100.0,206.0,107.0,1560.43,1052.11,41.26,21152.0,4564.18,4272.45,17511.0,32869.8,3871.67,17873.1,2602260.0,4157830.0,42603.0,27070.0,4727.0,8.48613,54.4415,17509.9,165.314,8059.0,131.979,172.552,49.0139,71.47,146.209,162.171,154.526,7964.38,6426.74,10542.1,11729.6,7518.23,7607.7,24.42,112.884,121.064,8.26,198.703,030324DS4,17510.97,1790.174,100,0.6528339,14,1.421462,85.00472,515.9234,6.096618,1.680969,38.83196,47.84771,121.4156,-10.86118,1,16,34,35,39,44,31,27,14,12,15,10,10,10,9,10,11,9,6,5,5,5,6,7,7,4,4,5,5,9,6,6,6,6,8,9,8,10,9,6,10,7,6,8,6,4,3,1.0,1.0,0.0,
