NeuroMorpho.Org ID,Neuron Name,Archive Name,Species Name,Strain,Structural Domains,Physical Integrity,Morphological Attributes,Min Age,Max Age,Gender,Min Weight,Max Weight,Development,Primary Brain Region,Secondary Brain Region,Tertiary Brain Region,Primary Cell Class,Secondary Cell Class,Tertiary Cell Class,Original Format,Experiment Protocol,Experimental Condition,Staining Method,Slicing Direction,Slice Thickness,Tissue Shrinkage,Objective Type,Magnification,Reconstruction Method,Date of Deposition,Date of Upload,Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Soma_Surface ,N_stems ,N_bifs ,N_branch ,N_tips ,Width ,Height ,Depth ,Type ,Diameter ,Diameter_pow ,Length ,Surface ,SectionArea ,Volume ,EucDistance ,PathDistance ,Branch_Order ,Terminal_degree ,TerminalSegment ,Taper_1 ,Taper_2 ,Branch_pathlength ,Contraction ,Fragmentation ,Daughter_Ratio ,Parent_Daughter_Ratio ,Partition_asymmetry ,Rall_Power ,Pk ,Pk_classic ,Pk_2 ,Bif_ampl_local ,Bif_ampl_remote ,Bif_tilt_local ,Bif_tilt_remote ,Bif_torque_local ,Bif_torque_remote ,Last_parent_diam ,Diam_threshold ,HillmanThreshold ,Helix ,Fractal_Dim ,Gstat.total.cable.length,gstats.maximum.path.length,gstats.number.of.branch.points,gstats.mpeucl,gstats.maximum.branch.order,Gstats.mean.branch.angle,Gstats.mean.branch.length,gstats.mplen,gstats.mbo,gstats.field.height,gstats.field.depth,gstats.chullx,gstats.chully,gstats.chullz,Sholl 1,Sholl 2,Sholl 3,Sholl 4,Sholl 5,Sholl 6,Sholl 7,Sholl 8,Sholl 9,Sholl 10,Sholl 11,Sholl 12,Sholl 13,Sholl 14,Sholl 15,Sholl 16,Sholl 17,Sholl 18,Sholl 19,Sholl 20,Sholl 21,Sholl 22,Sholl 23,Sholl 24,Sholl 25,Sholl 26,Sholl 27,Sholl 28,Sholl 29,Sholl 30,Sholl 31,Sholl 32,Sholl 33,Sholl 34,Sholl 35,Sholl 36,Sholl 37,Sholl 38,Sholl 39,Sholl 40,Sholl 41,Sholl 42,Sholl 43,Sholl 44,Sholl 45,Sholl 46,Sholl 47,Sholl 48,Sholl 49,Sholl 50
NMO_06373,20421,Masland,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,1160.6,4,28,60,171.01,101.14,16.09,0.14,1083.01,545.96,27.6,136.78,169.81,9.0,0.93,456,0.62,2.0,101.06,79.96,1.01,1160.61,4,29,62,34,100.91,167.21,16.24,1335,122.844,278.88,1102.23,1706.57,588.984,5604.69,25900.0,32496.1,1547,1294,248,3.05968,3.87921,1101.95,57.9259,459,29.0833,58.1208,18.3924,0.0,58.0,58.1276,58.1736,2829.87,2238.97,2978.67,3305.52,2982.46,2931.58,1.0,42.6626,52.0982,0.77,43.8257,1102.235,169.8108,29,0.8079176,10,1.811456,17.77798,70.7975,4.603175,0.6129761,7.125298,32.2654,18.27275,8.286449,1,6,6,6,4,4,4,7,8,7,6,6,8,9,10,11,9,12,10,14,12,9,10,10,10,10,10,9,8,7,6,5,6,6,5,5,5,5,3,2,1,1,1,1,1,1,1,2.0,2.0,0.0
NMO_06374,21102,Masland,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,949.97,9,131,271,163.41,217.75,8.28,0.18,2953.77,1891.65,115.23,136.97,186.54,13.0,0.93,1524,0.6,2.0,102.63,89.11,1.02,949.977,9,132,273,142,162.89,217.75,8.31,4550,338.756,345.144,2971.15,2841.63,521.297,4247.29,91302.3,132081.0,9078,7259,765,6.38511,8.88217,2969.69,254.661,1527,132.0,264.118,80.7745,0.0,264.0,264.0,264.0,13445.5,11673.8,13699.7,14555.9,11763.4,11156.4,6.16,60.8371,95.0592,0.28,169.282,2971.148,186.5425,132,0.7136463,14,1.801595,10.88333,86.49682,7.054745,0.7070161,19.37578,7.945881,31.00614,5.722331,1,11,11,11,9,9,10,9,16,17,17,17,17,18,18,21,24,32,35,35,26,26,27,19,18,24,25,20,22,21,23,15,18,17,15,12,13,12,8,8,6,6,5,6,6,5,3,2.0,2.0,0.0
NMO_06375,21105,Masland,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,3109.33,8,80,168,136.55,166.43,3.27,0.3,2508.58,2364.28,177.32,116.14,158.32,12.0,0.93,857,0.52,2.0,89.48,75.57,1.02,3109.33,8,81,170,90,135.64,165.93,3.11,2574,351.48,670.189,2540.04,5473.61,1615.24,24632.2,49209.3,64267.7,4529,2802,478,8.81208,7.92371,2539.27,159.883,860,81.0,162.076,43.1941,0.0,162.0,162.0,162.0,7158.91,6046.34,8712.77,9203.71,7731.98,8010.75,7.5,89.32,120.48,-0.95,99.7399,2540.039,158.3276,81,0.7733233,13,1.581335,14.94141,74.72984,6.444444,0.8607868,41.96667,3.301291,25.29453,0.4604186,1,10,10,10,10,10,11,9,11,12,17,16,16,16,26,24,28,22,26,32,31,28,24,24,28,28,26,28,26,28,28,22,23,24,16,13,15,11,10,10,10,10,9,7,4,3,2,2.0,1.0,0.0
NMO_06376,21201,Masland,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,1388.21,13,62,137,121.64,194.68,4.73,0.15,2544.23,1272.26,50.91,120.97,141.98,9.0,0.93,2164,0.52,2.0,92.79,78.04,1.01,1388.21,13,63,139,77,110.06,194.68,4.73,6495,406.346,426.137,2565.25,2660.48,737.164,7346.68,119074.0,147586.0,8203,4841,1365,10.1575,12.9001,2564.57,129.641,2167,63.0,126.1,33.249,0.0,126.0,126.0,126.0,5753.56,4839.07,6852.27,7028.42,4528.27,4476.67,3.5,53.984,95.723,-1.4,117.719,2565.248,141.9881,63,0.8248591,10,1.643812,18.45503,68.10607,4.721429,0.6130279,25.94297,17.79618,8.114725,3.760212,1,15,15,15,15,17,16,18,18,20,23,23,24,25,26,23,22,21,21,16,20,20,21,19,20,21,19,21,22,25,24,19,21,18,18,17,16,14,15,10,9,6,4,3,4,3,3,2.0,1.0,0.0
NMO_06377,21202,Masland,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,1810.7,8,92,192,142.16,243.16,11.8,0.28,3365.36,2984.78,212.01,177.2,195.31,12.0,0.93,1065,0.52,1.99,90.27,78.57,1.02,1810.7,8,93,194,102,140.82,243.1,6.32,3198,371.086,511.945,3389.35,4795.48,972.335,11083.1,76929.7,97875.9,4467,3906,594,6.39186,8.0858,3388.42,182.152,1068,93.2083,185.914,48.9813,0.0,186.0,185.753,185.685,8305.58,7228.83,10285.1,10739.2,7547.56,7301.51,8.07,75.9804,87.868,-0.3,126.853,3389.355,195.31,93,0.7800603,13,1.592486,17.4709,91.64405,5.702564,0.629406,14.3,24.77422,21.60947,-9.640712,1,10,10,10,8,8,12,11,11,12,17,17,17,18,23,24,25,22,19,20,20,21,21,31,31,24,21,27,23,19,15,16,11,12,10,8,8,7,6,6,4,2,2,2,2,2,2,2.0,1.0,0.0
NMO_06378,21204,Masland,mouse,C57BL/6,"Dendrites, Soma, No Axon",Dendrites Complete,"No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,2817.34,4,152,308,165.94,195.45,2.35,0.2,3581.37,2183.73,109.74,160.9,184.15,15.0,0.92,2106,0.56,2.0,92.58,89.35,1.03,2817.34,4,153,310,158,151.81,195.45,2.35,6321,526.758,693.541,3611.31,5001.08,1483.09,21206.5,140572.0,194775.0,15308,8000,1171,5.59532,3.97463,3609.75,285.565,2109,153.0,306.025,86.4557,0.0,306.0,306.0,306.0,14073.7,13582.7,16624.6,16369.2,12238.7,12566.0,8.26,90.6656,90.6656,-0.13,192.635,3611.314,184.1557,153,0.7250134,16,1.62597,11.6494,92.35416,8.257235,0.894123,29.04903,-16.00857,32.38127,-0.2011569,1,6,6,6,7,7,12,16,23,21,18,24,26,30,27,30,31,34,34,32,24,25,24,18,21,19,21,16,13,12,14,12,14,17,15,17,14,14,13,11,10,9,9,6,6,3,2,1.0,1.0,0.0
NMO_06379,30101,Masland,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,1124.9,10,43,96,242.39,287.87,8.52,0.15,4234.21,2158.29,106.8,223.51,236.49,7.0,0.87,2713,0.55,2.21,74.56,57.22,1.02,1124.9,10,44,98,55,264.35,302.34,8.57,8036,467.126,415.522,4253.13,3283.2,619.472,5429.1,220975.0,271223.0,7639,4421,1955,6.48168,-3.29196,4252.65,85.6977,2716,51.6468,92.2627,24.7619,0.69,90.0732,97.4342,105.423,3206.4,2460.87,4862.74,5525.4,3213.87,2465.57,2.26,45.8507,64.5911,-0.77,90.4076,4253.132,236.4969,44,0.8068312,8,1.343269,43.39931,99.86119,3.757576,0.9871932,31.35593,-2.923814,4.556753,-5.388398,1,12,12,11,13,16,17,19,20,24,28,31,30,31,31,29,27,25,26,28,27,26,27,26,18,18,19,19,16,17,14,11,10,7,3,3,3,3,3,4,3,1,1,1,1,1,1,1.0,1.0,0.0
NMO_06380,30102,Masland,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,910.97,9,66,141,204.83,195.01,18.07,0.16,3413.39,1827.92,84.29,260.42,271.01,7.0,0.9,2350,0.49,2.03,83.24,75.0,1.02,910.971,9,67,143,77,197.31,340.46,18.08,6861,436.051,371.929,3430.41,2738.89,509.851,3964.37,165035.0,211382.0,7889,4869,1729,4.23286,7.82961,3429.72,129.387,2353,73.1299,134.904,33.943,0.0,134.0,136.372,138.733,5493.9,4950.21,7345.68,7990.12,4838.0,4248.53,3.71,46.7442,55.2027,-2.66,133.01,3430.406,271.0164,67,0.7518371,8,1.478032,23.98886,89.83505,4.354167,0.6283963,10.49481,-7.876269,-3.522541,11.93479,1,11,9,9,11,15,18,23,25,32,30,31,33,29,30,27,24,19,15,12,10,6,6,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_06381,30103,Masland,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,1143.75,9,72,153,174.19,229.55,7.12,0.15,2950.69,1561.82,71.03,238.67,252.05,12.0,0.89,2302,0.48,2.04,79.22,71.03,1.03,1143.75,9,73,155,83,265.14,228.68,7.12,6746,425.353,401.542,2969.77,2705.57,621.737,5527.01,156854.0,201296.0,11385,5297,1383,6.79228,6.6607,2968.98,139.347,2305,77.5881,147.526,36.1843,0.0,146.0,149.272,152.01,5704.19,5114.16,8214.28,8552.8,6586.46,6840.0,4.2,51.6321,70.5331,-3.29,138.248,2969.773,252.0556,73,0.7874343,13,1.406828,19.40828,87.3301,5.480769,1.126195,35.88557,-16.41599,28.57776,1.576482,1,11,9,9,17,20,16,25,27,24,25,23,24,22,19,18,14,12,13,12,13,15,10,8,8,9,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
NMO_06382,30104,Masland,mouse,C57BL/6,"Dendrites, Soma, Axon","Dendrites Complete, Axon Incomplete","No Diameter, 3D, Angles",Not reported,Not reported,Not reported,Not reported,Not reported,not reported,retina,ganglion layer,Not reported,principal cell,ganglion,Not reported,Neurolucida.dat,in vitro,Control,Multiple,whole mount,Not reported,Not reported,Not reported,Not reported,Neurolucida,2010-05-21,2011-06-01,1420.63,7,70,147,137.54,281.07,15.76,0.18,3551.23,2155.27,108.71,211.69,223.2,15.0,0.89,2773,0.56,1.99,78.5,61.36,1.02,1420.63,7,71,149,79,151.17,281.08,15.78,8249,587.27,523.437,3572.49,3575.9,789.878,7662.9,184471.0,235715.0,15901,5879,1997,4.8494,7.58107,3571.74,133.95,2776,73.6514,141.398,40.4206,0.0,142.0,141.332,141.568,5495.56,4295.81,7815.06,8985.84,4961.94,4978.36,4.02,57.17,78.31,-1.82,138.022,3572.489,223.2066,71,0.7934566,16,1.395173,23.97644,84.91172,6.793333,0.5580018,11.05178,30.03349,17.51096,-8.973552,1,9,9,7,8,10,17,20,26,24,27,27,29,34,32,34,32,34,37,33,28,23,22,21,15,12,7,5,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0
